\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2024-01-03 06:00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For January 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
2024-01-01,BECK2 PGS,HYDRO,Output,13,5,2,2,2,1,12,30,9,6,7,7,7,7,7,2,1,5,5,0,1,0,15,0,
2024-01-01,BELLE RIVER,WIND,Available Capacity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2024-01-01,BELLE RIVER,WIND,Forecast,16,21,63,85,88,93,91,89,91,81,67,64,43,33,15,14,15,12,17,14,13,9,7,24,
2024-01-01,BELLE RIVER,WIND,Output,17,23,67,86,90,94,92,89,92,78,71,60,43,30,15,15,15,13,17,15,13,9,9,27,
2024-01-01,BLAKE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
2024-01-01,BLAKE,WIND,Forecast,24,26,22,23,27,13,13,13,6,8,9,8,7,5,5,4,11,23,18,12,15,17,17,18,
2024-01-01,BLAKE,WIND,Output,26,26,22,24,27,12,14,12,6,9,9,8,7,5,5,5,13,25,18,12,16,18,17,18,
2024-01-01,BORNISH,WIND,Available Capacity,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,
2024-01-01,BORNISH,WIND,Forecast,15,25,26,22,31,29,17,16,17,8,15,13,12,9,5,13,27,18,12,11,9,13,11,9,
2024-01-01,BORNISH,WIND,Output,17,28,26,24,33,28,16,17,17,9,16,15,11,8,4,19,26,18,12,10,11,13,10,11,
2024-01-01,BOW LAKE,WIND,Available Capacity,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
2024-01-01,BOW LAKE,WIND,Forecast,0,0,0,0,0,0,0,1,1,2,5,6,8,11,13,10,10,8,6,6,10,10,11,13,
2024-01-01,BOW LAKE,WIND,Output,0,0,0,0,0,0,0,1,2,3,6,7,9,12,13,11,10,8,6,8,10,11,11,14,
