,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Wed Jan 12, 10 PM - 11 PM","1,193 MW","3,536 MW","2,343 MW","19,006 MW","16,663 MW","1,919 tonnes",101 g/kWh,52.8%,21.8%,24.2%,1.2%,0.2%,0.0%,"10,028 MW","4,138 MW","4,590 MW",219 MW,31 MW,0 MW
"Thu Jan 13, 11 PM - 12 AM","1,101 MW","3,350 MW","2,249 MW","18,051 MW","15,802 MW","1,654 tonnes",92 g/kWh,55.6%,22.4%,20.7%,1.2%,0.1%,0.0%,"10,030 MW","4,040 MW","3,741 MW",219 MW,21 MW,0 MW
"Thu Jan 13, 12 AM - 1 AM",117 MW,"1,952 MW","1,835 MW","17,099 MW","15,264 MW","1,314 tonnes",77 g/kWh,58.7%,22.9%,17.1%,1.2%,0.1%,0.0%,"10,029 MW","3,919 MW","2,931 MW",204 MW,16 MW,0 MW
"Thu Jan 13, 1 AM - 2 AM",117 MW,"1,971 MW","1,854 MW","16,621 MW","14,767 MW","1,170 tonnes",70 g/kWh,60.3%,23.0%,15.5%,1.1%,0.1%,0.0%,"10,025 MW","3,823 MW","2,583 MW",175 MW,15 MW,0 MW
"Thu Jan 13, 2 AM - 3 AM",117 MW,"1,775 MW","1,658 MW","16,270 MW","14,612 MW","1,012 tonnes",62 g/kWh,61.7%,23.3%,14.1%,0.9%,0.1%,0.0%,"10,032 MW","3,787 MW","2,291 MW",145 MW,15 MW,0 MW
"Thu Jan 13, 3 AM - 4 AM",117 MW,"1,979 MW","1,862 MW","16,344 MW","14,482 MW","1,049 tonnes",64 g/kWh,61.3%,23.7%,14.4%,0.5%,0.1%,0.0%,"10,026 MW","3,875 MW","2,353 MW",74 MW,16 MW,0 MW
"Thu Jan 13, 4 AM - 5 AM",117 MW,"2,274 MW","2,157 MW","16,804 MW","14,647 MW","1,242 tonnes",74 g/kWh,59.6%,23.6%,16.4%,0.2%,0.1%,0.0%,"10,022 MW","3,966 MW","2,758 MW",41 MW,17 MW,0 MW
"Thu Jan 13, 5 AM - 6 AM",267 MW,"2,666 MW","2,399 MW","17,488 MW","15,089 MW","1,471 tonnes",84 g/kWh,57.4%,23.3%,18.8%,0.4%,0.1%,0.0%,"10,030 MW","4,076 MW","3,294 MW",68 MW,20 MW,0 MW
"Thu Jan 13, 6 AM - 7 AM",131 MW,"2,299 MW","2,168 MW","18,139 MW","15,971 MW","1,599 tonnes",88 g/kWh,55.3%,24.3%,19.8%,0.4%,0.2%,0.0%,"10,033 MW","4,415 MW","3,587 MW",76 MW,28 MW,0 MW
"Thu Jan 13, 7 AM - 8 AM",432 MW,"2,036 MW","1,604 MW","18,733 MW","17,129 MW","1,654 tonnes",88 g/kWh,53.5%,25.4%,20.4%,0.5%,0.2%,0.0%,"10,028 MW","4,761 MW","3,820 MW",93 MW,31 MW,0 MW
"Thu Jan 13, 8 AM - 9 AM",281 MW,"1,520 MW","1,239 MW","19,096 MW","17,857 MW","1,716 tonnes",90 g/kWh,52.5%,25.2%,21.3%,0.7%,0.2%,0.0%,"10,027 MW","4,817 MW","4,075 MW",142 MW,32 MW,3 MW
"Thu Jan 13, 9 AM - 10 AM",713 MW,"2,057 MW","1,344 MW","19,496 MW","18,152 MW","1,846 tonnes",95 g/kWh,51.4%,23.4%,24.1%,0.9%,0.2%,0.1%,"10,012 MW","4,564 MW","4,690 MW",184 MW,32 MW,14 MW
"Thu Jan 13, 10 AM - 11 AM",497 MW,"2,116 MW","1,619 MW","19,942 MW","18,323 MW","1,943 tonnes",97 g/kWh,50.3%,23.3%,25.2%,1.0%,0.2%,0.1%,"10,026 MW","4,637 MW","5,026 MW",197 MW,32 MW,24 MW
"Thu Jan 13, 11 AM - 12 PM",784 MW,"2,661 MW","1,877 MW","20,371 MW","18,494 MW","2,008 tonnes",99 g/kWh,49.2%,22.8%,26.6%,1.1%,0.2%,0.2%,"10,022 MW","4,649 MW","5,410 MW",219 MW,32 MW,39 MW
"Thu Jan 13, 12 PM - 1 PM","1,141 MW","2,884 MW","1,743 MW","20,295 MW","18,552 MW","1,996 tonnes",98 g/kWh,49.4%,22.3%,26.8%,1.2%,0.2%,0.2%,"10,028 MW","4,517 MW","5,429 MW",244 MW,32 MW,45 MW
"Thu Jan 13, 1 PM - 2 PM","1,624 MW","2,490 MW",866 MW,"19,324 MW","18,458 MW","1,784 tonnes",92 g/kWh,52.0%,22.2%,24.4%,1.0%,0.2%,0.2%,"10,040 MW","4,296 MW","4,714 MW",201 MW,32 MW,41 MW
"Thu Jan 13, 2 PM - 3 PM",734 MW,"2,075 MW","1,341 MW","19,686 MW","18,345 MW","1,762 tonnes",90 g/kWh,51.0%,22.6%,23.5%,2.6%,0.2%,0.2%,"10,032 MW","4,451 MW","4,631 MW",506 MW,32 MW,34 MW
"Thu Jan 13, 3 PM - 4 PM",839 MW,"2,361 MW","1,522 MW","19,665 MW","18,143 MW","1,624 tonnes",83 g/kWh,51.0%,24.4%,21.7%,2.7%,0.2%,0.1%,"10,033 MW","4,796 MW","4,268 MW",524 MW,32 MW,12 MW
"Thu Jan 13, 4 PM - 5 PM",951 MW,"2,565 MW","1,614 MW","20,061 MW","18,447 MW","1,544 tonnes",77 g/kWh,50.0%,26.7%,20.7%,2.4%,0.2%,0.0%,"10,032 MW","5,364 MW","4,152 MW",477 MW,32 MW,4 MW
"Thu Jan 13, 5 PM - 6 PM",860 MW,"2,324 MW","1,464 MW","20,614 MW","19,150 MW","1,657 tonnes",80 g/kWh,48.6%,26.2%,22.1%,2.9%,0.1%,0.0%,"10,028 MW","5,408 MW","4,563 MW",596 MW,19 MW,0 MW
"Thu Jan 13, 6 PM - 7 PM",618 MW,"2,284 MW","1,666 MW","20,547 MW","18,881 MW","1,659 tonnes",81 g/kWh,48.8%,26.5%,22.1%,2.4%,0.1%,0.0%,"10,026 MW","5,452 MW","4,550 MW",490 MW,29 MW,0 MW
"Thu Jan 13, 7 PM - 8 PM",869 MW,"2,452 MW","1,583 MW","20,231 MW","18,648 MW","1,682 tonnes",83 g/kWh,49.6%,25.2%,23.0%,2.1%,0.1%,0.0%,"10,027 MW","5,097 MW","4,647 MW",430 MW,30 MW,0 MW
"Thu Jan 13, 8 PM - 9 PM",568 MW,"2,236 MW","1,668 MW","19,856 MW","18,188 MW","1,682 tonnes",85 g/kWh,50.5%,23.3%,22.9%,3.2%,0.2%,0.0%,"10,029 MW","4,620 MW","4,549 MW",628 MW,30 MW,0 MW
"Thu Jan 13, 9 PM - 10 PM","1,013 MW","2,345 MW","1,332 MW","18,923 MW","17,591 MW","1,429 tonnes",76 g/kWh,53.0%,23.3%,20.2%,3.4%,0.2%,0.0%,"10,031 MW","4,404 MW","3,813 MW",645 MW,30 MW,0 MW
"Thu Jan 13, 10 PM - 11 PM","1,229 MW","2,295 MW","1,066 MW","17,904 MW","16,838 MW","1,177 tonnes",66 g/kWh,55.9%,23.6%,15.7%,4.6%,0.2%,0.0%,"10,015 MW","4,223 MW","2,808 MW",827 MW,31 MW,0 MW
"Fri Jan 14, 11 PM - 12 AM","1,101 MW","2,666 MW","1,565 MW","17,378 MW","15,813 MW","1,018 tonnes",59 g/kWh,57.7%,24.2%,12.7%,5.3%,0.1%,0.0%,"10,031 MW","4,208 MW","2,200 MW",918 MW,21 MW,0 MW
"Fri Jan 14, 12 AM - 1 AM","1,337 MW","3,544 MW","2,207 MW","17,188 MW","14,981 MW","1,047 tonnes",61 g/kWh,58.4%,23.6%,13.3%,4.6%,0.1%,0.0%,"10,033 MW","4,055 MW","2,292 MW",793 MW,15 MW,0 MW
"Fri Jan 14, 1 AM - 2 AM","1,337 MW","3,654 MW","2,317 MW","16,958 MW","14,641 MW","1,049 tonnes",62 g/kWh,59.1%,23.0%,13.4%,4.3%,0.1%,0.0%,"10,028 MW","3,903 MW","2,279 MW",733 MW,15 MW,0 MW
"Fri Jan 14, 2 AM - 3 AM","1,337 MW","3,453 MW","2,116 MW","16,629 MW","14,513 MW",934 tonnes,56 g/kWh,60.3%,23.2%,12.0%,4.4%,0.1%,0.0%,"10,027 MW","3,853 MW","2,002 MW",732 MW,15 MW,0 MW
"Fri Jan 14, 3 AM - 4 AM","1,337 MW","3,987 MW","2,650 MW","17,101 MW","14,451 MW","1,086 tonnes",64 g/kWh,58.6%,22.1%,13.9%,5.3%,0.1%,0.0%,"10,029 MW","3,773 MW","2,373 MW",911 MW,15 MW,0 MW
"Fri Jan 14, 4 AM - 5 AM","1,337 MW","4,035 MW","2,698 MW","17,447 MW","14,749 MW","1,093 tonnes",63 g/kWh,57.4%,21.6%,13.6%,7.2%,0.1%,0.0%,"10,023 MW","3,772 MW","2,379 MW","1,256 MW",17 MW,0 MW
"Fri Jan 14, 5 AM - 6 AM",987 MW,"3,472 MW","2,485 MW","17,751 MW","15,266 MW","1,027 tonnes",58 g/kWh,56.5%,22.3%,12.7%,8.5%,0.1%,0.0%,"10,021 MW","3,952 MW","2,251 MW","1,506 MW",21 MW,0 MW
"Fri Jan 14, 6 AM - 7 AM","1,063 MW","3,353 MW","2,290 MW","18,462 MW","16,172 MW","1,076 tonnes",58 g/kWh,54.3%,23.6%,12.9%,9.0%,0.1%,0.0%,"10,024 MW","4,358 MW","2,385 MW","1,669 MW",26 MW,0 MW
"Fri Jan 14, 7 AM - 8 AM","1,029 MW","3,421 MW","2,392 MW","19,556 MW","17,164 MW","1,274 tonnes",65 g/kWh,51.2%,24.1%,14.4%,10.1%,0.2%,0.0%,"10,021 MW","4,704 MW","2,823 MW","1,976 MW",31 MW,1 MW
"Fri Jan 14, 8 AM - 9 AM",879 MW,"3,327 MW","2,448 MW","20,282 MW","17,834 MW","1,292 tonnes",64 g/kWh,49.4%,24.3%,14.1%,11.9%,0.2%,0.1%,"10,021 MW","4,923 MW","2,869 MW","2,423 MW",32 MW,14 MW
"Fri Jan 14, 9 AM - 10 AM","1,379 MW","3,480 MW","2,101 MW","20,043 MW","17,942 MW","1,092 tonnes",54 g/kWh,49.8%,23.2%,12.8%,13.7%,0.2%,0.2%,"9,991 MW","4,649 MW","2,567 MW","2,754 MW",32 MW,50 MW
"Fri Jan 14, 10 AM - 11 AM","1,494 MW","3,720 MW","2,226 MW","19,954 MW","17,728 MW","1,051 tonnes",53 g/kWh,50.2%,21.4%,13.8%,13.9%,0.2%,0.5%,"10,019 MW","4,278 MW","2,746 MW","2,780 MW",33 MW,98 MW
"Fri Jan 14, 11 AM - 12 PM","1,672 MW","3,664 MW","1,992 MW","19,843 MW","17,851 MW","1,013 tonnes",51 g/kWh,50.5%,20.3%,14.8%,13.5%,0.2%,0.8%,"10,024 MW","4,022 MW","2,930 MW","2,686 MW",32 MW,149 MW
"Fri Jan 14, 12 PM - 1 PM","1,680 MW","3,969 MW","2,289 MW","19,955 MW","17,666 MW","1,034 tonnes",52 g/kWh,50.2%,21.0%,14.7%,13.0%,0.2%,0.9%,"10,021 MW","4,189 MW","2,931 MW","2,604 MW",31 MW,179 MW
"Fri Jan 14, 1 PM - 2 PM","1,738 MW","3,961 MW","2,223 MW","19,836 MW","17,613 MW","1,065 tonnes",54 g/kWh,50.6%,20.4%,15.0%,13.0%,0.2%,0.9%,"10,028 MW","4,042 MW","2,967 MW","2,582 MW",32 MW,185 MW
"Fri Jan 14, 2 PM - 3 PM","1,738 MW","4,025 MW","2,287 MW","19,870 MW","17,583 MW","1,081 tonnes",54 g/kWh,50.5%,19.5%,15.4%,13.5%,0.2%,1.0%,"10,029 MW","3,873 MW","3,057 MW","2,677 MW",30 MW,204 MW
"Fri Jan 14, 3 PM - 4 PM","1,738 MW","3,820 MW","2,082 MW","19,922 MW","17,840 MW","1,074 tonnes",54 g/kWh,50.4%,20.0%,15.4%,13.3%,0.2%,0.8%,"10,031 MW","3,993 MW","3,067 MW","2,649 MW",32 MW,150 MW
"Fri Jan 14, 4 PM - 5 PM","1,563 MW","3,736 MW","2,173 MW","20,741 MW","18,568 MW","1,146 tonnes",55 g/kWh,48.3%,22.4%,15.7%,13.3%,0.2%,0.2%,"10,026 MW","4,649 MW","3,246 MW","2,755 MW",32 MW,33 MW
"Fri Jan 14, 5 PM - 6 PM","1,729 MW","4,231 MW","2,502 MW","22,284 MW","19,782 MW","1,546 tonnes",69 g/kWh,45.0%,22.8%,19.2%,12.9%,0.1%,0.0%,"10,022 MW","5,076 MW","4,289 MW","2,864 MW",32 MW,1 MW
"Fri Jan 14, 6 PM - 7 PM","1,737 MW","4,364 MW","2,627 MW","22,360 MW","19,733 MW","1,554 tonnes",70 g/kWh,44.8%,22.3%,19.2%,13.5%,0.1%,0.0%,"10,025 MW","4,981 MW","4,299 MW","3,023 MW",32 MW,0 MW
"Fri Jan 14, 7 PM - 8 PM","1,763 MW","4,113 MW","2,350 MW","21,865 MW","19,515 MW","1,455 tonnes",67 g/kWh,45.8%,22.1%,17.9%,14.0%,0.1%,0.0%,"10,024 MW","4,822 MW","3,919 MW","3,069 MW",31 MW,0 MW
"Fri Jan 14, 8 PM - 9 PM","1,789 MW","4,237 MW","2,448 MW","21,565 MW","19,117 MW","1,455 tonnes",67 g/kWh,46.5%,21.7%,18.3%,13.5%,0.1%,0.0%,"10,025 MW","4,670 MW","3,937 MW","2,902 MW",31 MW,0 MW
"Fri Jan 14, 9 PM - 10 PM","1,789 MW","4,611 MW","2,822 MW","21,403 MW","18,581 MW","1,536 tonnes",72 g/kWh,46.8%,20.1%,19.9%,13.1%,0.1%,0.0%,"10,023 MW","4,293 MW","4,254 MW","2,802 MW",31 MW,0 MW
"Fri Jan 14, 10 PM - 11 PM","1,749 MW","3,649 MW","1,900 MW","19,699 MW","17,799 MW","1,316 tonnes",67 g/kWh,50.9%,19.6%,16.1%,13.3%,0.2%,0.0%,"10,018 MW","3,861 MW","3,168 MW","2,621 MW",31 MW,0 MW
"Sat Jan 15, 11 PM - 12 AM","2,102 MW","4,185 MW","2,083 MW","19,141 MW","17,058 MW","1,336 tonnes",70 g/kWh,52.4%,19.5%,15.7%,12.3%,0.1%,0.0%,"10,024 MW","3,740 MW","3,014 MW","2,346 MW",17 MW,0 MW
"Sat Jan 15, 12 AM - 1 AM","1,537 MW","3,743 MW","2,206 MW","18,849 MW","16,643 MW","1,145 tonnes",61 g/kWh,53.2%,21.2%,13.6%,12.1%,0.0%,0.0%,"10,020 MW","3,988 MW","2,558 MW","2,274 MW",9 MW,0 MW
"Sat Jan 15, 1 AM - 2 AM","1,551 MW","4,246 MW","2,695 MW","19,050 MW","16,355 MW","1,307 tonnes",69 g/kWh,52.6%,20.3%,15.4%,11.7%,0.0%,0.0%,"10,024 MW","3,863 MW","2,941 MW","2,222 MW",0 MW,0 MW
"Sat Jan 15, 2 AM - 3 AM","1,137 MW","4,283 MW","3,146 MW","19,325 MW","16,179 MW","1,412 tonnes",73 g/kWh,51.9%,20.2%,16.5%,11.4%,0.0%,0.0%,"10,025 MW","3,907 MW","3,189 MW","2,204 MW",0 MW,0 MW
"Sat Jan 15, 3 AM - 4 AM",867 MW,"4,210 MW","3,343 MW","19,511 MW","16,168 MW","1,559 tonnes",80 g/kWh,51.4%,19.7%,18.2%,10.8%,0.0%,0.0%,"10,024 MW","3,843 MW","3,546 MW","2,098 MW",0 MW,0 MW
"Sat Jan 15, 4 AM - 5 AM","1,101 MW","4,368 MW","3,267 MW","19,564 MW","16,297 MW","1,664 tonnes",85 g/kWh,51.3%,19.6%,19.3%,9.8%,0.0%,0.0%,"10,028 MW","3,838 MW","3,780 MW","1,918 MW",0 MW,0 MW
"Sat Jan 15, 5 AM - 6 AM",117 MW,"3,741 MW","3,624 MW","20,221 MW","16,597 MW","1,826 tonnes",90 g/kWh,49.6%,20.3%,20.5%,9.6%,0.0%,0.0%,"10,032 MW","4,103 MW","4,141 MW","1,945 MW",0 MW,0 MW
"Sat Jan 15, 6 AM - 7 AM",9 MW,"3,412 MW","3,403 MW","20,486 MW","17,083 MW","1,937 tonnes",95 g/kWh,49.0%,20.7%,21.5%,8.8%,0.0%,0.0%,"10,032 MW","4,244 MW","4,410 MW","1,800 MW",0 MW,0 MW
"Sat Jan 15, 7 AM - 8 AM",9 MW,"3,233 MW","3,224 MW","20,855 MW","17,631 MW","1,981 tonnes",95 g/kWh,48.1%,22.3%,22.0%,7.6%,0.0%,0.0%,"10,033 MW","4,661 MW","4,579 MW","1,581 MW",0 MW,1 MW
"Sat Jan 15, 8 AM - 9 AM",9 MW,"3,173 MW","3,164 MW","21,414 MW","18,250 MW","2,131 tonnes",99 g/kWh,46.8%,23.3%,23.3%,6.5%,0.0%,0.1%,"10,028 MW","4,985 MW","4,986 MW","1,397 MW",0 MW,18 MW
"Sat Jan 15, 9 AM - 10 AM",303 MW,"2,836 MW","2,533 MW","20,957 MW","18,424 MW","1,925 tonnes",92 g/kWh,47.9%,23.7%,22.8%,5.3%,0.0%,0.4%,"10,030 MW","4,960 MW","4,776 MW","1,113 MW",1 MW,77 MW
"Sat Jan 15, 10 AM - 11 AM",402 MW,"2,649 MW","2,247 MW","20,694 MW","18,447 MW","1,967 tonnes",95 g/kWh,48.5%,22.4%,24.2%,4.1%,0.0%,0.8%,"10,027 MW","4,635 MW","5,012 MW",858 MW,0 MW,162 MW
"Sat Jan 15, 11 AM - 12 PM",56 MW,"2,289 MW","2,233 MW","20,446 MW","18,213 MW","1,873 tonnes",92 g/kWh,49.1%,22.3%,24.7%,3.0%,0.0%,1.0%,"10,033 MW","4,550 MW","5,046 MW",608 MW,0 MW,209 MW
"Sat Jan 15, 12 PM - 1 PM",528 MW,"2,566 MW","2,038 MW","20,030 MW","17,992 MW","1,832 tonnes",91 g/kWh,50.1%,22.1%,24.4%,2.4%,0.0%,1.1%,"10,027 MW","4,417 MW","4,893 MW",475 MW,0 MW,218 MW
"Sat Jan 15, 1 PM - 2 PM",726 MW,"2,326 MW","1,600 MW","19,457 MW","17,857 MW","1,731 tonnes",89 g/kWh,51.5%,21.9%,23.4%,2.0%,0.0%,1.1%,"10,028 MW","4,266 MW","4,552 MW",398 MW,0 MW,213 MW
"Sat Jan 15, 2 PM - 3 PM",726 MW,"2,028 MW","1,302 MW","19,154 MW","17,852 MW","1,589 tonnes",83 g/kWh,52.4%,22.3%,22.1%,2.4%,0.0%,0.9%,"10,029 MW","4,266 MW","4,235 MW",451 MW,0 MW,173 MW
"Sat Jan 15, 3 PM - 4 PM",175 MW,"1,676 MW","1,501 MW","19,806 MW","18,305 MW","1,672 tonnes",84 g/kWh,50.6%,23.5%,22.9%,2.4%,0.0%,0.6%,"10,029 MW","4,652 MW","4,539 MW",475 MW,0 MW,111 MW
"Sat Jan 15, 4 PM - 5 PM",134 MW,"2,323 MW","2,189 MW","21,422 MW","19,233 MW","2,097 tonnes",98 g/kWh,46.8%,24.5%,26.7%,1.9%,0.0%,0.1%,"10,021 MW","5,249 MW","5,724 MW",397 MW,0 MW,31 MW
"Sat Jan 15, 5 PM - 6 PM",488 MW,"2,381 MW","1,893 MW","22,294 MW","20,401 MW","2,379 tonnes",107 g/kWh,45.0%,24.9%,28.5%,1.6%,0.0%,0.0%,"10,022 MW","5,557 MW","6,353 MW",361 MW,0 MW,1 MW
"Sat Jan 15, 6 PM - 7 PM",940 MW,"2,695 MW","1,755 MW","22,167 MW","20,412 MW","2,282 tonnes",103 g/kWh,45.2%,25.1%,27.4%,2.3%,0.0%,0.0%,"10,026 MW","5,561 MW","6,064 MW",516 MW,0 MW,0 MW
"Sat Jan 15, 7 PM - 8 PM",899 MW,"3,116 MW","2,217 MW","22,015 MW","19,798 MW","2,244 tonnes",102 g/kWh,45.5%,24.6%,27.2%,2.7%,0.0%,0.0%,"10,027 MW","5,421 MW","5,981 MW",585 MW,1 MW,0 MW
"Sat Jan 15, 8 PM - 9 PM",743 MW,"3,000 MW","2,257 MW","21,602 MW","19,345 MW","2,149 tonnes",99 g/kWh,46.4%,23.3%,26.8%,3.5%,0.0%,0.0%,"10,029 MW","5,027 MW","5,791 MW",755 MW,0 MW,0 MW
"Sat Jan 15, 9 PM - 10 PM",606 MW,"3,034 MW","2,428 MW","21,208 MW","18,780 MW","2,077 tonnes",98 g/kWh,47.3%,20.9%,26.7%,5.1%,0.0%,0.0%,"10,027 MW","4,438 MW","5,655 MW","1,088 MW",0 MW,0 MW
"Sat Jan 15, 10 PM - 11 PM",570 MW,"3,399 MW","2,829 MW","20,987 MW","18,158 MW","2,040 tonnes",97 g/kWh,47.8%,19.5%,26.5%,6.2%,0.0%,0.0%,"10,026 MW","4,096 MW","5,565 MW","1,300 MW",0 MW,0 MW
"Sun Jan 16, 11 PM - 12 AM",425 MW,"3,742 MW","3,317 MW","20,660 MW","17,343 MW","1,941 tonnes",94 g/kWh,48.5%,19.5%,25.5%,6.5%,0.0%,0.0%,"10,027 MW","4,028 MW","5,267 MW","1,338 MW",0 MW,0 MW
"Sun Jan 16, 12 AM - 1 AM",34 MW,"3,789 MW","3,755 MW","20,266 MW","16,511 MW","1,932 tonnes",95 g/kWh,49.5%,19.4%,24.0%,7.0%,0.0%,0.0%,"10,030 MW","3,941 MW","4,868 MW","1,427 MW",0 MW,0 MW
"Sun Jan 16, 1 AM - 2 AM",117 MW,"3,761 MW","3,644 MW","20,001 MW","16,357 MW","1,898 tonnes",95 g/kWh,50.2%,18.6%,23.4%,7.8%,0.0%,0.0%,"10,037 MW","3,724 MW","4,674 MW","1,566 MW",0 MW,0 MW
"Sun Jan 16, 2 AM - 3 AM",117 MW,"4,289 MW","4,172 MW","20,081 MW","15,909 MW","1,835 tonnes",91 g/kWh,50.0%,19.0%,23.0%,8.0%,0.0%,0.0%,"10,037 MW","3,825 MW","4,614 MW","1,605 MW",0 MW,0 MW
"Sun Jan 16, 3 AM - 4 AM",117 MW,"4,137 MW","4,020 MW","20,018 MW","15,998 MW","1,943 tonnes",97 g/kWh,50.1%,18.7%,24.4%,6.7%,0.0%,0.0%,"10,038 MW","3,741 MW","4,890 MW","1,349 MW",0 MW,0 MW
"Sun Jan 16, 4 AM - 5 AM",117 MW,"4,215 MW","4,098 MW","20,185 MW","16,087 MW","2,035 tonnes",101 g/kWh,49.7%,18.3%,25.2%,6.7%,0.0%,0.0%,"10,042 MW","3,687 MW","5,094 MW","1,362 MW",0 MW,0 MW
"Sun Jan 16, 5 AM - 6 AM",123 MW,"4,208 MW","4,085 MW","20,190 MW","16,105 MW","1,974 tonnes",98 g/kWh,49.7%,18.9%,24.6%,6.8%,0.0%,0.0%,"10,039 MW","3,807 MW","4,966 MW","1,378 MW",0 MW,0 MW
"Sun Jan 16, 6 AM - 7 AM",11 MW,"3,698 MW","3,687 MW","20,154 MW","16,467 MW","1,867 tonnes",93 g/kWh,49.8%,20.0%,23.4%,6.8%,0.0%,0.0%,"10,041 MW","4,034 MW","4,714 MW","1,365 MW",0 MW,0 MW
"Sun Jan 16, 7 AM - 8 AM",14 MW,"3,648 MW","3,634 MW","20,601 MW","16,967 MW","1,966 tonnes",95 g/kWh,48.8%,20.4%,24.0%,6.8%,0.0%,0.0%,"10,043 MW","4,212 MW","4,948 MW","1,397 MW",0 MW,1 MW
"Sun Jan 16, 8 AM - 9 AM",9 MW,"3,598 MW","3,589 MW","20,788 MW","17,199 MW","1,877 tonnes",90 g/kWh,48.3%,21.7%,22.8%,7.1%,0.0%,0.1%,"10,043 MW","4,503 MW","4,734 MW","1,480 MW",0 MW,28 MW
"Sun Jan 16, 9 AM - 10 AM",9 MW,"3,185 MW","3,176 MW","20,393 MW","17,217 MW","1,785 tonnes",88 g/kWh,49.2%,22.3%,22.2%,5.8%,0.0%,0.5%,"10,034 MW","4,555 MW","4,519 MW","1,175 MW",0 MW,110 MW
"Sun Jan 16, 10 AM - 11 AM",123 MW,"3,397 MW","3,274 MW","20,300 MW","17,026 MW","1,833 tonnes",90 g/kWh,49.4%,21.9%,23.1%,4.5%,0.0%,1.0%,"10,033 MW","4,451 MW","4,698 MW",920 MW,0 MW,198 MW
"Sun Jan 16, 11 AM - 12 PM",217 MW,"3,617 MW","3,400 MW","20,343 MW","16,943 MW","1,935 tonnes",95 g/kWh,49.3%,20.8%,24.5%,4.0%,0.0%,1.3%,"10,034 MW","4,238 MW","4,985 MW",815 MW,0 MW,271 MW
"Sun Jan 16, 12 PM - 1 PM",321 MW,"3,533 MW","3,212 MW","20,001 MW","16,789 MW","1,861 tonnes",93 g/kWh,50.2%,21.1%,24.4%,2.9%,0.0%,1.4%,"10,040 MW","4,216 MW","4,890 MW",571 MW,0 MW,284 MW
"Sun Jan 16, 1 PM - 2 PM",17 MW,"3,183 MW","3,166 MW","19,724 MW","16,558 MW","1,867 tonnes",95 g/kWh,50.9%,21.0%,24.8%,2.1%,0.0%,1.2%,"10,036 MW","4,150 MW","4,898 MW",405 MW,0 MW,235 MW
"Sun Jan 16, 2 PM - 3 PM","1,346 MW","3,333 MW","1,987 MW","18,691 MW","16,704 MW","1,420 tonnes",76 g/kWh,53.7%,22.1%,20.6%,2.6%,0.0%,1.0%,"10,041 MW","4,135 MW","3,842 MW",488 MW,0 MW,185 MW
"Sun Jan 16, 3 PM - 4 PM","1,537 MW","4,055 MW","2,518 MW","19,216 MW","16,698 MW","1,512 tonnes",79 g/kWh,52.3%,22.0%,21.2%,4.0%,0.0%,0.6%,"10,042 MW","4,218 MW","4,071 MW",766 MW,0 MW,119 MW
"Sun Jan 16, 4 PM - 5 PM",962 MW,"3,136 MW","2,174 MW","19,987 MW","17,813 MW","1,633 tonnes",82 g/kWh,50.2%,23.3%,21.9%,4.4%,0.0%,0.1%,"10,039 MW","4,659 MW","4,383 MW",881 MW,0 MW,25 MW
"Sun Jan 16, 5 PM - 6 PM",736 MW,"3,158 MW","2,422 MW","21,545 MW","19,123 MW","2,127 tonnes",99 g/kWh,46.6%,23.3%,26.7%,3.4%,0.0%,0.0%,"10,039 MW","5,027 MW","5,755 MW",724 MW,0 MW,0 MW
"Sun Jan 16, 6 PM - 7 PM",821 MW,"3,463 MW","2,642 MW","21,892 MW","19,250 MW","2,151 tonnes",98 g/kWh,45.9%,23.5%,26.6%,4.1%,0.0%,0.0%,"10,046 MW","5,134 MW","5,814 MW",898 MW,0 MW,0 MW
"Sun Jan 16, 7 PM - 8 PM",950 MW,"4,026 MW","3,076 MW","21,438 MW","18,362 MW","1,944 tonnes",91 g/kWh,46.9%,22.1%,23.9%,7.1%,0.0%,0.0%,"10,048 MW","4,732 MW","5,132 MW","1,526 MW",0 MW,0 MW
"Sun Jan 16, 8 PM - 9 PM","1,334 MW","4,376 MW","3,042 MW","21,050 MW","18,008 MW","1,841 tonnes",87 g/kWh,47.8%,21.9%,23.1%,7.2%,0.0%,0.0%,"10,052 MW","4,618 MW","4,864 MW","1,516 MW",0 MW,0 MW
"Sun Jan 16, 9 PM - 10 PM","1,187 MW","4,354 MW","3,167 MW","20,518 MW","17,351 MW","1,884 tonnes",92 g/kWh,49.0%,20.5%,24.7%,5.8%,0.0%,0.0%,"10,048 MW","4,196 MW","5,078 MW","1,196 MW",0 MW,0 MW
"Sun Jan 16, 10 PM - 11 PM","1,243 MW","4,445 MW","3,202 MW","19,866 MW","16,664 MW","1,874 tonnes",94 g/kWh,50.6%,19.5%,25.6%,4.3%,0.0%,0.0%,"10,047 MW","3,879 MW","5,094 MW",846 MW,0 MW,0 MW
"Mon Jan 17, 11 PM - 12 AM",110 MW,"3,898 MW","3,788 MW","19,729 MW","15,941 MW","1,871 tonnes",95 g/kWh,51.0%,19.2%,25.7%,4.2%,0.0%,0.0%,"10,052 MW","3,784 MW","5,063 MW",830 MW,0 MW,0 MW
