,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Mon Nov 15, 3 AM - 4 AM",756 MW,"2,329 MW","1,573 MW","14,387 MW","12,814 MW",522 tonnes,36 g/kWh,58.8%,19.1%,8.5%,13.2%,0.5%,0.0%,"8,454 MW","2,742 MW","1,222 MW","1,903 MW",66 MW,0 MW
"Mon Nov 15, 4 AM - 5 AM",461 MW,"2,311 MW","1,850 MW","14,830 MW","12,980 MW",692 tonnes,47 g/kWh,57.0%,18.2%,11.0%,13.1%,0.7%,0.0%,"8,457 MW","2,698 MW","1,626 MW","1,946 MW",103 MW,0 MW
"Mon Nov 15, 5 AM - 6 AM","1,009 MW","2,727 MW","1,718 MW","15,357 MW","13,639 MW",874 tonnes,57 g/kWh,55.1%,17.5%,13.7%,13.2%,0.6%,0.0%,"8,455 MW","2,683 MW","2,099 MW","2,031 MW",89 MW,0 MW
"Mon Nov 15, 6 AM - 7 AM","1,951 MW","2,958 MW","1,007 MW","15,958 MW","14,951 MW","1,006 tonnes",63 g/kWh,52.9%,18.6%,15.7%,12.2%,0.5%,0.0%,"8,449 MW","2,976 MW","2,499 MW","1,954 MW",80 MW,0 MW
"Mon Nov 15, 7 AM - 8 AM","1,785 MW","2,930 MW","1,145 MW","17,138 MW","15,993 MW","1,057 tonnes",62 g/kWh,49.3%,22.1%,16.0%,12.1%,0.5%,0.0%,"8,444 MW","3,791 MW","2,734 MW","2,082 MW",85 MW,2 MW
"Mon Nov 15, 8 AM - 9 AM","1,659 MW","2,208 MW",549 MW,"17,104 MW","16,555 MW","1,096 tonnes",64 g/kWh,49.3%,21.5%,16.6%,11.6%,0.8%,0.1%,"8,438 MW","3,680 MW","2,841 MW","1,985 MW",137 MW,23 MW
"Mon Nov 15, 9 AM - 10 AM","1,292 MW","2,073 MW",781 MW,"17,210 MW","16,429 MW","1,092 tonnes",63 g/kWh,49.0%,22.4%,16.5%,10.9%,0.8%,0.3%,"8,441 MW","3,862 MW","2,836 MW","1,869 MW",145 MW,57 MW
"Mon Nov 15, 10 AM - 11 AM","1,719 MW","2,036 MW",317 MW,"16,604 MW","16,287 MW",982 tonnes,59 g/kWh,50.9%,21.8%,15.6%,10.1%,1.0%,0.6%,"8,444 MW","3,617 MW","2,595 MW","1,677 MW",169 MW,102 MW
"Mon Nov 15, 11 AM - 12 PM","1,503 MW","1,795 MW",292 MW,"16,355 MW","16,063 MW",767 tonnes,47 g/kWh,51.6%,21.1%,13.2%,12.1%,1.3%,0.8%,"8,442 MW","3,444 MW","2,162 MW","1,976 MW",206 MW,125 MW
"Mon Nov 15, 12 PM - 1 PM","1,851 MW","1,669 MW",-182 MW,"15,927 MW","16,109 MW",761 tonnes,48 g/kWh,53.0%,19.8%,14.0%,11.2%,0.9%,1.1%,"8,437 MW","3,157 MW","2,235 MW","1,783 MW",147 MW,168 MW
"Mon Nov 15, 1 PM - 2 PM","1,669 MW","1,844 MW",175 MW,"16,349 MW","16,174 MW",855 tonnes,52 g/kWh,51.6%,19.2%,16.2%,11.2%,1.0%,0.8%,"8,435 MW","3,142 MW","2,643 MW","1,835 MW",160 MW,134 MW
"Mon Nov 15, 2 PM - 3 PM","1,813 MW","1,808 MW",-5 MW,"16,455 MW","16,460 MW",949 tonnes,58 g/kWh,51.3%,19.7%,17.4%,10.5%,0.7%,0.4%,"8,435 MW","3,243 MW","2,862 MW","1,728 MW",116 MW,71 MW
"Mon Nov 15, 3 PM - 4 PM","1,690 MW","1,781 MW",91 MW,"16,810 MW","16,719 MW","1,079 tonnes",64 g/kWh,50.2%,21.7%,18.8%,8.6%,0.5%,0.2%,"8,440 MW","3,652 MW","3,159 MW","1,438 MW",86 MW,35 MW
"Mon Nov 15, 4 PM - 5 PM",652 MW,"1,443 MW",791 MW,"18,215 MW","17,424 MW","1,236 tonnes",68 g/kWh,46.4%,24.4%,19.4%,9.3%,0.5%,0.1%,"8,445 MW","4,446 MW","3,535 MW","1,686 MW",92 MW,11 MW
"Mon Nov 15, 5 PM - 6 PM",597 MW,"2,033 MW","1,436 MW","19,770 MW","18,334 MW","1,815 tonnes",92 g/kWh,42.7%,23.0%,25.7%,8.2%,0.4%,0.0%,"8,447 MW","4,550 MW","5,083 MW","1,615 MW",75 MW,0 MW
"Mon Nov 15, 6 PM - 7 PM","1,291 MW","1,981 MW",690 MW,"18,553 MW","17,863 MW","1,462 tonnes",79 g/kWh,45.5%,24.4%,22.1%,7.6%,0.4%,0.0%,"8,446 MW","4,530 MW","4,094 MW","1,408 MW",75 MW,0 MW
"Mon Nov 15, 7 PM - 8 PM","1,801 MW","1,791 MW",-10 MW,"17,470 MW","17,480 MW","1,259 tonnes",72 g/kWh,48.3%,24.6%,18.3%,8.4%,0.4%,0.0%,"8,446 MW","4,291 MW","3,200 MW","1,459 MW",74 MW,0 MW
"Mon Nov 15, 8 PM - 9 PM","2,263 MW","1,948 MW",-315 MW,"16,725 MW","17,040 MW","1,210 tonnes",72 g/kWh,50.5%,24.7%,16.5%,7.7%,0.6%,0.0%,"8,446 MW","4,136 MW","2,761 MW","1,290 MW",92 MW,0 MW
"Mon Nov 15, 9 PM - 10 PM","2,262 MW","1,879 MW",-383 MW,"15,821 MW","16,204 MW","1,029 tonnes",65 g/kWh,53.4%,23.5%,14.6%,8.0%,0.5%,0.0%,"8,443 MW","3,719 MW","2,314 MW","1,262 MW",83 MW,0 MW
