,Imports (MW),Exports (MW),Net Import/Exports (MW),Power Generated (MW),Ontario Demand (MW),Total Emissions (tonnes),CO2e Intensity (g/kWh),nuclear (%),hydro (%),gas (%),wind (%),biofuel (%),solar (%),nuclear (MW),hydro (MW),gas (MW),wind (MW),biofuel (MW),solar (MW)
2021-10-14 09:00:00-04:00,1216.0,1565.0,349.0,15435.0,15086.0,769.0,50.0,54.7,23.3,14.8,6.7,0.2,0.3,8445.0,3594.0,2291.0,1033.0,31.0,41.0
2021-10-14 10:00:00-04:00,1239.0,1513.0,274.0,15536.0,15262.0,759.0,49.0,54.4,24.6,14.9,5.3,0.2,0.6,8444.0,3820.0,2308.0,826.0,38.0,100.0
2021-10-14 11:00:00-04:00,1105.0,1523.0,418.0,15824.0,15406.0,970.0,61.0,53.4,23.0,17.8,4.2,0.3,1.3,8445.0,3647.0,2820.0,665.0,47.0,200.0
2021-10-14 12:00:00-04:00,920.0,1711.0,791.0,16361.0,15570.0,1024.0,63.0,51.6,23.8,19.2,3.7,0.3,1.3,8447.0,3900.0,3144.0,605.0,47.0,218.0
2021-10-14 13:00:00-04:00,919.0,1458.0,539.0,16222.0,15683.0,1042.0,64.0,52.1,23.5,19.3,3.4,0.3,1.4,8457.0,3817.0,3128.0,551.0,43.0,226.0
2021-10-14 14:00:00-04:00,1023.0,1238.0,215.0,16062.0,15847.0,1061.0,66.0,52.6,24.1,18.9,2.8,0.2,1.3,8455.0,3874.0,3036.0,457.0,38.0,202.0
2021-10-14 15:00:00-04:00,1023.0,1702.0,679.0,16650.0,15971.0,1166.0,70.0,50.7,24.2,20.2,3.3,0.2,1.4,8447.0,4035.0,3363.0,545.0,31.0,229.0
2021-10-14 16:00:00-04:00,1087.0,1757.0,670.0,16766.0,16096.0,1174.0,70.0,50.4,24.8,19.5,4.1,0.2,1.1,8446.0,4153.0,3268.0,685.0,30.0,184.0
2021-10-14 17:00:00-04:00,1029.0,1542.0,513.0,17045.0,16532.0,1198.0,70.0,49.5,25.6,20.1,4.1,0.2,0.5,8439.0,4359.0,3423.0,706.0,31.0,87.0
2021-10-14 18:00:00-04:00,1026.0,1409.0,383.0,17039.0,16656.0,1216.0,71.0,49.5,25.8,20.6,3.8,0.2,0.2,8435.0,4392.0,3515.0,640.0,31.0,26.0
2021-10-14 19:00:00-04:00,795.0,924.0,129.0,16770.0,16641.0,1047.0,62.0,50.3,27.0,18.0,4.5,0.2,0.0,8437.0,4532.0,3016.0,751.0,32.0,2.0
2021-10-14 20:00:00-04:00,1167.0,1118.0,-49.0,16647.0,16696.0,862.0,52.0,50.6,27.1,15.4,6.6,0.2,0.0,8430.0,4514.0,2571.0,1099.0,33.0,0.0
2021-10-14 21:00:00-04:00,1044.0,1332.0,288.0,16484.0,16196.0,784.0,48.0,51.1,28.1,14.5,6.1,0.2,0.0,8423.0,4634.0,2389.0,1005.0,33.0,0.0
2021-10-14 22:00:00-04:00,1106.0,1547.0,441.0,16078.0,15637.0,821.0,51.0,52.3,27.3,15.6,4.5,0.2,0.0,8414.0,4389.0,2512.0,730.0,33.0,0.0
2021-10-14 23:00:00-04:00,1089.0,1716.0,627.0,15415.0,14788.0,823.0,53.0,54.6,27.0,13.5,4.7,0.2,0.0,8416.0,4163.0,2079.0,725.0,32.0,0.0
2021-10-15 00:00:00-04:00,1130.0,1782.0,652.0,14353.0,13701.0,583.0,41.0,58.7,27.7,8.6,4.8,0.2,0.0,8427.0,3982.0,1228.0,691.0,25.0,0.0
2021-10-15 01:00:00-04:00,752.0,1671.0,919.0,13900.0,12981.0,421.0,30.0,60.6,27.9,6.3,5.1,0.1,0.0,8426.0,3882.0,869.0,706.0,17.0,0.0
2021-10-15 02:00:00-04:00,277.0,1555.0,1278.0,13678.0,12400.0,317.0,23.0,61.8,27.9,5.0,5.2,0.1,0.0,8453.0,3821.0,679.0,708.0,17.0,0.0
2021-10-15 03:00:00-04:00,404.0,1807.0,1403.0,13465.0,12062.0,247.0,18.0,62.9,28.7,4.0,4.3,0.1,0.0,8468.0,3859.0,536.0,585.0,17.0,0.0
2021-10-15 04:00:00-04:00,360.0,1861.0,1501.0,13454.0,11953.0,306.0,23.0,62.9,28.7,4.9,3.4,0.1,0.0,8469.0,3861.0,653.0,454.0,17.0,0.0
2021-10-15 05:00:00-04:00,388.0,2012.0,1624.0,13569.0,11945.0,390.0,29.0,62.4,28.6,6.1,2.7,0.1,0.0,8472.0,3883.0,824.0,372.0,18.0,0.0
2021-10-15 06:00:00-04:00,779.0,1731.0,952.0,13486.0,12534.0,439.0,33.0,62.9,27.0,7.9,2.0,0.1,0.0,8478.0,3642.0,1072.0,275.0,19.0,0.0
2021-10-15 07:00:00-04:00,1189.0,1801.0,612.0,14214.0,13602.0,591.0,42.0,59.6,27.0,11.7,1.5,0.2,0.0,8474.0,3836.0,1665.0,213.0,26.0,0.0
2021-10-15 08:00:00-04:00,1267.0,1673.0,406.0,15363.0,14957.0,927.0,60.0,55.2,26.1,17.4,1.1,0.2,0.0,8475.0,4012.0,2676.0,166.0,32.0,2.0
2021-10-15 09:00:00-04:00,1278.0,1648.0,370.0,15803.0,15433.0,1067.0,68.0,53.3,26.0,19.9,0.5,0.2,0.1,8417.0,4108.0,3152.0,72.0,32.0,22.0
2021-10-15 10:00:00-04:00,1272.0,1636.0,364.0,16100.0,15736.0,1107.0,69.0,52.2,26.0,20.8,0.3,0.2,0.4,8406.0,4182.0,3353.0,56.0,32.0,71.0
2021-10-15 11:00:00-04:00,1303.0,1718.0,415.0,16246.0,15831.0,1126.0,69.0,51.8,26.4,20.9,0.3,0.2,0.5,8411.0,4285.0,3392.0,50.0,31.0,77.0
2021-10-15 12:00:00-04:00,1278.0,1611.0,333.0,16168.0,15835.0,1106.0,68.0,52.0,25.7,20.8,0.7,0.2,0.7,8410.0,4149.0,3355.0,107.0,32.0,115.0
2021-10-15 13:00:00-04:00,1321.0,1730.0,409.0,16171.0,15762.0,1053.0,65.0,52.0,26.6,19.6,0.7,0.2,0.9,8413.0,4304.0,3162.0,118.0,32.0,142.0
2021-10-15 14:00:00-04:00,1281.0,1530.0,249.0,16030.0,15781.0,1019.0,64.0,52.7,27.2,18.4,0.7,0.2,0.8,8453.0,4360.0,2944.0,106.0,32.0,135.0
2021-10-15 15:00:00-04:00,1275.0,1676.0,401.0,16233.0,15832.0,1036.0,64.0,52.4,27.2,19.0,0.5,0.2,0.6,8510.0,4412.0,3090.0,88.0,32.0,101.0
2021-10-15 16:00:00-04:00,1099.0,1904.0,805.0,16694.0,15889.0,994.0,60.0,51.5,28.8,18.2,0.9,0.2,0.5,8590.0,4803.0,3036.0,154.0,31.0,80.0
2021-10-15 17:00:00-04:00,1304.0,1939.0,635.0,16705.0,16070.0,951.0,57.0,51.5,30.0,16.7,1.3,0.2,0.3,8601.0,5009.0,2795.0,225.0,31.0,44.0
2021-10-15 18:00:00-04:00,748.0,1784.0,1036.0,17334.0,16298.0,1084.0,63.0,49.7,29.8,18.9,1.4,0.2,0.1,8609.0,5158.0,3274.0,243.0,31.0,19.0
2021-10-15 19:00:00-04:00,440.0,1470.0,1030.0,17324.0,16294.0,1120.0,65.0,49.7,29.1,19.8,1.2,0.2,0.0,8606.0,5049.0,3424.0,214.0,31.0,0.0
2021-10-15 20:00:00-04:00,487.0,1389.0,902.0,17169.0,16267.0,1045.0,61.0,50.2,29.3,18.5,1.8,0.2,0.0,8615.0,5035.0,3170.0,317.0,32.0,0.0
2021-10-15 21:00:00-04:00,1224.0,1892.0,668.0,16468.0,15800.0,797.0,48.0,52.3,29.0,14.7,3.8,0.2,0.0,8610.0,4770.0,2426.0,629.0,33.0,0.0
2021-10-15 22:00:00-04:00,1204.0,1645.0,441.0,15539.0,15098.0,403.0,26.0,55.4,25.9,8.2,10.3,0.2,0.0,8603.0,4022.0,1276.0,1605.0,33.0,0.0
2021-10-15 23:00:00-04:00,1204.0,1821.0,617.0,14875.0,14258.0,342.0,23.0,57.9,26.4,5.4,10.0,0.2,0.0,8615.0,3924.0,810.0,1494.0,32.0,0.0
2021-10-16 00:00:00-04:00,664.0,1937.0,1273.0,14349.0,13076.0,143.0,10.0,60.1,30.3,1.9,7.6,0.1,0.0,8628.0,4346.0,274.0,1085.0,16.0,0.0
2021-10-16 01:00:00-04:00,742.0,2350.0,1608.0,13964.0,12356.0,126.0,9.0,61.8,31.2,1.4,5.5,0.0,0.0,8632.0,4362.0,202.0,766.0,2.0,0.0
2021-10-16 02:00:00-04:00,476.0,2345.0,1869.0,13665.0,11796.0,130.0,10.0,63.2,30.8,1.5,4.5,0.0,0.0,8637.0,4206.0,208.0,614.0,0.0,0.0
2021-10-16 03:00:00-04:00,476.0,2280.0,1804.0,13311.0,11507.0,88.0,7.0,64.9,28.9,1.1,5.1,0.0,0.0,8637.0,3853.0,140.0,681.0,0.0,0.0
2021-10-16 04:00:00-04:00,81.0,2308.0,2227.0,13570.0,11343.0,87.0,6.0,63.6,30.0,1.0,5.4,0.0,0.0,8629.0,4066.0,139.0,736.0,0.0,0.0
2021-10-16 05:00:00-04:00,100.0,2553.0,2453.0,13716.0,11263.0,87.0,6.0,62.9,30.3,1.0,5.8,0.0,0.0,8634.0,4154.0,139.0,789.0,0.0,0.0
2021-10-16 06:00:00-04:00,100.0,2645.0,2545.0,13902.0,11357.0,106.0,8.0,62.1,30.8,1.3,5.8,0.0,0.0,8634.0,4284.0,179.0,805.0,0.0,0.0
2021-10-16 07:00:00-04:00,658.0,2656.0,1998.0,13960.0,11962.0,92.0,7.0,61.6,28.4,1.1,8.8,0.0,0.0,8603.0,3970.0,154.0,1233.0,0.0,0.0
2021-10-16 08:00:00-04:00,988.0,2366.0,1378.0,14049.0,12671.0,123.0,9.0,61.0,24.7,1.7,12.6,0.0,0.0,8573.0,3467.0,236.0,1773.0,0.0,0.0
2021-10-16 09:00:00-04:00,789.0,2083.0,1294.0,14423.0,13129.0,234.0,16.0,59.4,25.0,3.6,12.0,0.0,0.0,8565.0,3610.0,514.0,1731.0,0.0,3.0
2021-10-16 10:00:00-04:00,1011.0,2081.0,1070.0,15021.0,13951.0,254.0,17.0,57.0,25.2,3.7,13.9,0.0,0.2,8561.0,3785.0,553.0,2094.0,0.0,28.0
2021-10-16 11:00:00-04:00,638.0,2311.0,1673.0,15935.0,14262.0,351.0,22.0,53.7,27.8,4.7,13.3,0.0,0.4,8565.0,4435.0,752.0,2113.0,0.0,70.0
2021-10-16 12:00:00-04:00,849.0,2537.0,1688.0,15952.0,14264.0,381.0,24.0,53.7,26.8,5.0,13.9,0.0,0.6,8564.0,4279.0,797.0,2221.0,0.0,91.0
2021-10-16 13:00:00-04:00,707.0,2457.0,1750.0,15956.0,14206.0,333.0,21.0,54.1,24.7,4.5,16.1,0.0,0.7,8632.0,3934.0,718.0,2566.0,0.0,106.0
2021-10-16 14:00:00-04:00,87.0,2317.0,2230.0,16323.0,14093.0,324.0,20.0,53.0,22.9,4.2,19.0,0.0,0.8,8654.0,3746.0,693.0,3101.0,0.0,129.0
2021-10-16 15:00:00-04:00,809.0,2436.0,1627.0,15477.0,13850.0,145.0,9.0,55.8,22.3,1.8,18.8,0.0,1.2,8636.0,3459.0,280.0,2913.0,0.0,189.0
2021-10-16 16:00:00-04:00,705.0,2380.0,1675.0,15355.0,13680.0,212.0,14.0,56.2,24.3,3.0,15.5,0.0,1.0,8637.0,3733.0,460.0,2379.0,0.0,146.0
2021-10-16 17:00:00-04:00,74.0,2185.0,2111.0,16093.0,13982.0,230.0,14.0,53.7,24.2,3.1,18.4,0.0,0.5,8647.0,3899.0,505.0,2954.0,0.0,88.0
2021-10-16 18:00:00-04:00,372.0,2289.0,1917.0,16423.0,14506.0,229.0,14.0,52.6,25.8,3.1,18.2,0.0,0.3,8646.0,4233.0,504.0,2993.0,0.0,47.0
2021-10-16 19:00:00-04:00,959.0,2350.0,1391.0,16245.0,14854.0,229.0,14.0,53.2,25.3,3.1,18.4,0.0,0.0,8650.0,4102.0,503.0,2986.0,0.0,4.0
2021-10-16 20:00:00-04:00,37.0,2043.0,2006.0,16805.0,14799.0,230.0,14.0,51.5,25.4,3.0,20.1,0.0,0.0,8661.0,4268.0,504.0,3372.0,0.0,0.0
2021-10-16 21:00:00-04:00,37.0,2305.0,2268.0,16498.0,14230.0,235.0,14.0,52.5,24.4,3.1,20.0,0.0,0.0,8657.0,4021.0,513.0,3307.0,0.0,0.0
2021-10-16 22:00:00-04:00,188.0,2543.0,2355.0,16010.0,13655.0,144.0,9.0,54.1,24.3,1.8,19.9,0.0,0.0,8657.0,3890.0,284.0,3179.0,0.0,0.0
2021-10-16 23:00:00-04:00,48.0,2757.0,2709.0,15792.0,13083.0,81.0,5.0,54.9,24.6,0.8,19.7,0.0,0.0,8663.0,3887.0,130.0,3112.0,0.0,0.0
2021-10-17 00:00:00-04:00,48.0,2723.0,2675.0,14913.0,12238.0,81.0,5.0,58.1,21.9,0.9,19.1,0.0,0.0,8671.0,3262.0,129.0,2851.0,0.0,0.0
2021-10-17 01:00:00-04:00,53.0,2943.0,2890.0,14576.0,11686.0,81.0,6.0,59.5,22.5,0.9,17.1,0.0,0.0,8675.0,3277.0,129.0,2495.0,0.0,0.0
2021-10-17 02:00:00-04:00,76.0,3068.0,2992.0,14286.0,11294.0,81.0,6.0,60.8,21.4,0.9,16.9,0.0,0.0,8687.0,3056.0,129.0,2414.0,0.0,0.0
2021-10-17 03:00:00-04:00,53.0,3082.0,3029.0,14066.0,11037.0,81.0,6.0,61.8,20.5,0.9,16.8,0.0,0.0,8686.0,2885.0,129.0,2366.0,0.0,0.0
2021-10-17 04:00:00-04:00,53.0,3080.0,3027.0,13902.0,10875.0,81.0,6.0,62.7,21.6,0.9,14.8,0.0,0.0,8710.0,3004.0,129.0,2059.0,0.0,0.0
2021-10-17 05:00:00-04:00,72.0,3077.0,3005.0,13792.0,10787.0,81.0,6.0,63.2,22.4,0.9,13.4,0.0,0.0,8720.0,3091.0,129.0,1852.0,0.0,0.0
2021-10-17 06:00:00-04:00,72.0,3090.0,3018.0,13904.0,10886.0,81.0,6.0,62.7,22.4,0.9,14.0,0.0,0.0,8716.0,3116.0,129.0,1943.0,0.0,0.0
2021-10-17 07:00:00-04:00,72.0,3093.0,3021.0,14311.0,11290.0,81.0,6.0,61.0,22.2,0.9,16.0,0.0,0.0,8723.0,3172.0,129.0,2287.0,0.0,0.0
2021-10-17 08:00:00-04:00,28.0,2886.0,2858.0,14684.0,11826.0,81.0,5.0,59.5,24.8,0.9,14.8,0.0,0.0,8739.0,3640.0,129.0,2174.0,0.0,2.0
2021-10-17 09:00:00-04:00,28.0,2794.0,2766.0,14957.0,12191.0,91.0,6.0,58.4,27.4,1.0,12.9,0.0,0.2,8737.0,4094.0,154.0,1936.0,0.0,36.0
2021-10-17 10:00:00-04:00,623.0,2762.0,2139.0,14846.0,12707.0,88.0,6.0,58.8,28.3,1.0,11.4,0.0,0.5,8735.0,4201.0,147.0,1694.0,0.0,69.0
2021-10-17 11:00:00-04:00,153.0,2651.0,2498.0,15347.0,12849.0,133.0,9.0,57.0,30.1,1.4,10.5,0.0,1.1,8746.0,4617.0,218.0,1604.0,0.0,162.0
2021-10-17 12:00:00-04:00,662.0,2460.0,1798.0,15048.0,13250.0,109.0,7.0,58.1,26.3,1.3,13.3,0.0,1.0,8747.0,3951.0,189.0,2005.0,0.0,156.0
2021-10-17 13:00:00-04:00,755.0,2489.0,1734.0,14864.0,13130.0,126.0,8.0,58.9,23.5,1.6,14.8,0.0,1.2,8753.0,3496.0,244.0,2196.0,0.0,175.0
2021-10-17 14:00:00-04:00,667.0,2503.0,1836.0,14810.0,12974.0,232.0,16.0,59.1,23.6,3.9,12.4,0.0,1.0,8759.0,3489.0,578.0,1838.0,0.0,146.0
2021-10-17 15:00:00-04:00,417.0,2635.0,2218.0,15112.0,12894.0,232.0,15.0,57.7,24.0,4.2,13.2,0.0,0.8,8723.0,3633.0,632.0,1998.0,0.0,126.0
2021-10-17 16:00:00-04:00,551.0,2718.0,2167.0,15431.0,13264.0,230.0,15.0,56.9,26.0,4.7,11.3,0.0,1.1,8779.0,4015.0,728.0,1738.0,0.0,171.0
2021-10-17 17:00:00-04:00,1243.0,2735.0,1492.0,15353.0,13861.0,230.0,15.0,57.2,27.6,5.4,8.7,0.0,1.0,8787.0,4241.0,833.0,1341.0,0.0,151.0
2021-10-17 18:00:00-04:00,1243.0,2430.0,1187.0,15780.0,14593.0,232.0,15.0,55.7,28.5,5.3,10.1,0.0,0.4,8794.0,4492.0,833.0,1598.0,0.0,63.0
2021-10-17 19:00:00-04:00,1188.0,2073.0,885.0,15910.0,15025.0,231.0,15.0,55.3,28.8,5.2,10.6,0.0,0.0,8806.0,4581.0,827.0,1691.0,0.0,5.0
2021-10-17 20:00:00-04:00,1051.0,2241.0,1190.0,16325.0,15135.0,256.0,16.0,54.0,29.1,5.4,11.6,0.0,0.0,8810.0,4755.0,874.0,1886.0,0.0,0.0
2021-10-17 22:00:00-04:00,588.0,2883.0,2295.0,16285.0,13990.0,93.0,6.0,54.1,26.1,2.9,16.9,0.0,0.0,8807.0,4254.0,467.0,2757.0,0.0,0.0
2021-10-18 00:00:00-04:00,9.0,2685.0,2676.0,14991.0,12315.0,93.0,6.0,58.8,21.5,1.0,18.7,0.0,0.0,8813.0,3223.0,150.0,2805.0,0.0,0.0
2021-10-18 01:00:00-04:00,53.0,2981.0,2928.0,14527.0,11599.0,99.0,7.0,60.7,21.6,1.2,16.5,0.0,0.0,8812.0,3140.0,173.0,2402.0,0.0,0.0
2021-10-18 02:00:00-04:00,43.0,2558.0,2515.0,13892.0,11377.0,104.0,7.0,63.5,21.3,1.3,13.8,0.1,0.0,8815.0,2960.0,186.0,1923.0,8.0,0.0
2021-10-18 03:00:00-04:00,41.0,2683.0,2642.0,13904.0,11262.0,100.0,7.0,63.4,22.1,1.3,13.1,0.1,0.0,8818.0,3066.0,176.0,1828.0,16.0,0.0
2021-10-18 04:00:00-04:00,41.0,2683.0,2642.0,13890.0,11248.0,147.0,11.0,63.5,21.5,2.1,12.8,0.1,0.0,8824.0,2981.0,293.0,1774.0,18.0,0.0
2021-10-18 05:00:00-04:00,41.0,2683.0,2642.0,14027.0,11385.0,203.0,15.0,62.8,21.5,3.7,11.9,0.1,0.0,8814.0,3018.0,512.0,1665.0,18.0,0.0
2021-10-18 06:00:00-04:00,126.0,2593.0,2467.0,14363.0,11896.0,311.0,22.0,61.4,21.8,6.3,10.4,0.1,0.0,8813.0,3134.0,898.0,1497.0,21.0,0.0
2021-10-18 07:00:00-04:00,914.0,2631.0,1717.0,14993.0,13276.0,325.0,22.0,58.8,23.8,7.2,10.0,0.2,0.0,8815.0,3573.0,1072.0,1505.0,28.0,0.0
2021-10-18 08:00:00-04:00,1044.0,2513.0,1469.0,16205.0,14736.0,377.0,23.0,54.4,26.4,7.4,11.7,0.2,0.0,8810.0,4273.0,1202.0,1888.0,29.0,3.0
2021-10-18 09:00:00-04:00,1044.0,2175.0,1131.0,16272.0,15141.0,446.0,27.0,54.1,25.0,8.4,11.9,0.2,0.3,8809.0,4064.0,1373.0,1944.0,31.0,51.0
2021-10-18 10:00:00-04:00,925.0,2349.0,1424.0,16414.0,14990.0,463.0,28.0,53.7,25.3,8.6,11.1,0.2,1.0,8818.0,4150.0,1419.0,1830.0,32.0,165.0
2021-10-18 11:00:00-04:00,709.0,2308.0,1599.0,16490.0,14891.0,501.0,30.0,53.5,23.5,9.2,12.2,0.2,1.5,8826.0,3867.0,1512.0,2005.0,33.0,247.0
2021-10-18 12:00:00-04:00,265.0,2411.0,2146.0,16413.0,14267.0,491.0,30.0,53.9,22.2,9.1,12.8,0.2,1.8,8839.0,3646.0,1489.0,2108.0,32.0,299.0
2021-10-18 13:00:00-04:00,115.0,2319.0,2204.0,16212.0,14008.0,484.0,30.0,54.6,21.9,9.1,12.2,0.2,2.1,8847.0,3549.0,1475.0,1971.0,33.0,337.0
2021-10-18 14:00:00-04:00,563.0,2422.0,1859.0,15881.0,14022.0,493.0,31.0,55.8,23.8,8.0,10.4,0.2,2.0,8854.0,3774.0,1265.0,1644.0,32.0,312.0
2021-10-18 15:00:00-04:00,893.0,2697.0,1804.0,15659.0,13855.0,510.0,33.0,56.5,23.6,8.1,9.7,0.2,1.9,8852.0,3701.0,1267.0,1514.0,32.0,293.0
2021-10-18 17:00:00-04:00,1202.0,2368.0,1166.0,15747.0,14581.0,601.0,38.0,56.1,24.9,11.3,6.0,0.2,1.5,8836.0,3914.0,1780.0,952.0,32.0,233.0
2021-10-18 18:00:00-04:00,1080.0,2398.0,1318.0,16679.0,15361.0,654.0,39.0,53.0,28.7,11.5,6.0,0.2,0.6,8832.0,4787.0,1916.0,1009.0,32.0,103.0
2021-10-18 19:00:00-04:00,1271.0,2038.0,767.0,16760.0,15993.0,833.0,50.0,52.7,29.4,13.9,3.7,0.2,0.0,8835.0,4923.0,2338.0,625.0,32.0,7.0
2021-10-18 20:00:00-04:00,1372.0,1922.0,550.0,16801.0,16251.0,885.0,53.0,52.6,28.9,14.6,3.7,0.2,0.0,8835.0,4860.0,2446.0,628.0,32.0,0.0
2021-10-18 21:00:00-04:00,1391.0,1774.0,383.0,16120.0,15737.0,683.0,42.0,54.8,28.1,12.1,4.8,0.2,0.0,8837.0,4522.0,1948.0,781.0,32.0,0.0
2021-10-18 22:00:00-04:00,1072.0,1924.0,852.0,15937.0,15085.0,733.0,46.0,55.4,26.3,13.1,5.0,0.2,0.0,8837.0,4190.0,2081.0,796.0,33.0,0.0
2021-10-18 23:00:00-04:00,1116.0,2205.0,1089.0,15117.0,14028.0,587.0,39.0,58.4,25.6,11.5,4.4,0.2,0.0,8822.0,3866.0,1732.0,665.0,32.0,0.0
2021-10-19 00:00:00-04:00,1122.0,2197.0,1075.0,14068.0,12993.0,348.0,25.0,62.8,25.0,6.4,5.6,0.1,0.0,8838.0,3523.0,901.0,785.0,21.0,0.0
2021-10-19 01:00:00-04:00,1099.0,2045.0,946.0,13347.0,12401.0,126.0,9.0,66.3,24.2,1.8,7.6,0.1,0.0,8850.0,3224.0,244.0,1013.0,16.0,0.0
2021-10-19 02:00:00-04:00,463.0,2077.0,1614.0,13474.0,11860.0,86.0,6.0,65.7,24.9,1.0,8.2,0.1,0.0,8857.0,3358.0,137.0,1107.0,15.0,0.0
2021-10-19 03:00:00-04:00,72.0,2119.0,2047.0,13670.0,11623.0,85.0,6.0,64.8,26.1,1.0,8.0,0.1,0.0,8861.0,3567.0,136.0,1091.0,15.0,0.0
2021-10-19 04:00:00-04:00,321.0,2616.0,2295.0,13786.0,11491.0,95.0,7.0,64.2,26.8,1.2,7.8,0.1,0.0,8847.0,3690.0,161.0,1073.0,15.0,0.0
2021-10-19 05:00:00-04:00,69.0,2552.0,2483.0,14210.0,11727.0,139.0,10.0,62.2,27.6,2.4,7.7,0.1,0.0,8842.0,3919.0,335.0,1097.0,17.0,0.0
2021-10-19 06:00:00-04:00,525.0,2640.0,2115.0,14466.0,12351.0,248.0,17.0,61.1,26.4,5.1,7.2,0.2,0.0,8839.0,3820.0,741.0,1044.0,22.0,0.0
2021-10-19 07:00:00-04:00,1099.0,2546.0,1447.0,15047.0,13600.0,330.0,22.0,58.7,26.7,7.0,7.4,0.2,0.0,8840.0,4016.0,1052.0,1111.0,28.0,0.0
2021-10-19 08:00:00-04:00,1067.0,2218.0,1151.0,16059.0,14908.0,417.0,26.0,55.0,29.4,8.3,7.0,0.2,0.0,8840.0,4729.0,1328.0,1127.0,32.0,3.0
2021-10-19 09:00:00-04:00,1067.0,1812.0,745.0,15902.0,15157.0,424.0,27.0,55.6,28.2,8.3,7.0,0.2,0.6,8846.0,4491.0,1326.0,1117.0,33.0,89.0
2021-10-19 10:00:00-04:00,1075.0,2105.0,1030.0,15794.0,14764.0,411.0,26.0,56.0,27.7,8.2,6.4,0.2,1.5,8844.0,4379.0,1288.0,1006.0,33.0,244.0
2021-10-19 11:00:00-04:00,647.0,2178.0,1531.0,15975.0,14444.0,587.0,37.0,55.4,26.9,11.1,4.2,0.3,2.2,8844.0,4297.0,1770.0,667.0,43.0,354.0
2021-10-19 12:00:00-04:00,966.0,2511.0,1545.0,15739.0,14194.0,568.0,36.0,56.2,25.2,11.0,4.7,0.4,2.6,8847.0,3963.0,1728.0,736.0,56.0,409.0
2021-10-19 13:00:00-04:00,1128.0,2419.0,1291.0,15349.0,14058.0,498.0,32.0,57.6,24.9,8.1,6.2,0.4,2.7,8847.0,3822.0,1249.0,956.0,56.0,419.0
2021-10-19 14:00:00-04:00,723.0,2280.0,1557.0,15448.0,13891.0,549.0,36.0,57.3,23.8,8.9,6.9,0.4,2.7,8850.0,3678.0,1375.0,1069.0,55.0,421.0
2021-10-19 15:00:00-04:00,49.0,2247.0,2198.0,16028.0,13830.0,586.0,37.0,55.2,24.2,10.1,7.7,0.3,2.5,8851.0,3877.0,1617.0,1227.0,53.0,403.0
2021-10-19 16:00:00-04:00,35.0,2065.0,2030.0,16033.0,14003.0,498.0,31.0,55.3,23.8,9.5,9.1,0.3,2.1,8859.0,3810.0,1519.0,1454.0,55.0,336.0
2021-10-19 17:00:00-04:00,694.0,2187.0,1493.0,16138.0,14645.0,479.0,30.0,54.8,24.7,9.0,9.7,0.3,1.4,8847.0,3980.0,1455.0,1570.0,54.0,232.0
2021-10-19 18:00:00-04:00,703.0,1876.0,1173.0,16673.0,15500.0,526.0,32.0,53.1,27.4,9.5,9.1,0.3,0.5,8852.0,4575.0,1588.0,1516.0,51.0,91.0
2021-10-19 19:00:00-04:00,746.0,1864.0,1118.0,17002.0,15884.0,634.0,37.0,52.1,26.8,11.2,9.7,0.2,0.0,8854.0,4557.0,1901.0,1645.0,41.0,4.0
2021-10-19 20:00:00-04:00,786.0,1512.0,726.0,16788.0,16062.0,593.0,35.0,52.7,25.8,10.5,10.8,0.2,0.0,8853.0,4327.0,1760.0,1816.0,32.0,0.0
2021-10-19 21:00:00-04:00,784.0,1833.0,1049.0,16547.0,15498.0,503.0,30.0,53.5,24.9,9.1,12.3,0.2,0.0,8849.0,4125.0,1511.0,2030.0,32.0,0.0
2021-10-19 22:00:00-04:00,785.0,2086.0,1301.0,16043.0,14742.0,347.0,22.0,55.2,23.4,7.0,14.2,0.2,0.0,8851.0,3759.0,1127.0,2273.0,33.0,0.0
2021-10-19 23:00:00-04:00,683.0,2181.0,1498.0,15275.0,13777.0,244.0,16.0,57.9,23.2,4.1,14.6,0.2,0.0,8845.0,3545.0,628.0,2224.0,33.0,0.0
2021-10-20 00:00:00-04:00,188.0,2386.0,2198.0,14958.0,12760.0,108.0,7.0,59.2,22.7,1.3,16.7,0.1,0.0,8852.0,3391.0,194.0,2501.0,20.0,0.0
2021-10-20 01:00:00-04:00,60.0,2670.0,2610.0,14602.0,11992.0,84.0,6.0,60.6,20.8,0.9,17.5,0.1,0.0,8854.0,3043.0,135.0,2554.0,16.0,0.0
2021-10-20 02:00:00-04:00,60.0,2661.0,2601.0,14124.0,11523.0,81.0,6.0,62.7,19.8,0.9,16.5,0.1,0.0,8853.0,2797.0,129.0,2329.0,16.0,0.0
2021-10-20 03:00:00-04:00,60.0,2819.0,2759.0,14133.0,11374.0,83.0,6.0,62.7,20.0,1.0,16.2,0.1,0.0,8855.0,2832.0,135.0,2295.0,16.0,0.0
2021-10-20 04:00:00-04:00,60.0,2935.0,2875.0,14251.0,11376.0,167.0,12.0,62.2,20.0,2.4,15.3,0.1,0.0,8858.0,2846.0,346.0,2185.0,16.0,0.0
2021-10-20 05:00:00-04:00,60.0,2961.0,2901.0,14372.0,11471.0,291.0,20.0,61.7,19.6,4.6,14.0,0.1,0.0,8862.0,2813.0,666.0,2015.0,16.0,0.0
