,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Thu Oct 14, 8 AM - 9 AM","1,216 MW","1,565 MW",349 MW,"15,435 MW","15,086 MW",769 tonnes,50 g/kWh,54.7%,23.3%,14.8%,6.7%,0.2%,0.3%,"8,445 MW","3,594 MW","2,291 MW","1,033 MW",31 MW,41 MW
"Thu Oct 14, 9 AM - 10 AM","1,239 MW","1,513 MW",274 MW,"15,536 MW","15,262 MW",759 tonnes,49 g/kWh,54.4%,24.6%,14.9%,5.3%,0.2%,0.6%,"8,444 MW","3,820 MW","2,308 MW",826 MW,38 MW,100 MW
"Thu Oct 14, 10 AM - 11 AM","1,105 MW","1,523 MW",418 MW,"15,824 MW","15,406 MW",970 tonnes,61 g/kWh,53.4%,23.0%,17.8%,4.2%,0.3%,1.3%,"8,445 MW","3,647 MW","2,820 MW",665 MW,47 MW,200 MW
"Thu Oct 14, 11 AM - 12 PM",920 MW,"1,711 MW",791 MW,"16,361 MW","15,570 MW","1,024 tonnes",63 g/kWh,51.6%,23.8%,19.2%,3.7%,0.3%,1.3%,"8,447 MW","3,900 MW","3,144 MW",605 MW,47 MW,218 MW
"Thu Oct 14, 12 PM - 1 PM",919 MW,"1,458 MW",539 MW,"16,222 MW","15,683 MW","1,042 tonnes",64 g/kWh,52.1%,23.5%,19.3%,3.4%,0.3%,1.4%,"8,457 MW","3,817 MW","3,128 MW",551 MW,43 MW,226 MW
"Thu Oct 14, 1 PM - 2 PM","1,023 MW","1,238 MW",215 MW,"16,062 MW","15,847 MW","1,061 tonnes",66 g/kWh,52.6%,24.1%,18.9%,2.8%,0.2%,1.3%,"8,455 MW","3,874 MW","3,036 MW",457 MW,38 MW,202 MW
"Thu Oct 14, 2 PM - 3 PM","1,023 MW","1,702 MW",679 MW,"16,650 MW","15,971 MW","1,166 tonnes",70 g/kWh,50.7%,24.2%,20.2%,3.3%,0.2%,1.4%,"8,447 MW","4,035 MW","3,363 MW",545 MW,31 MW,229 MW
"Thu Oct 14, 3 PM - 4 PM","1,087 MW","1,757 MW",670 MW,"16,766 MW","16,096 MW","1,174 tonnes",70 g/kWh,50.4%,24.8%,19.5%,4.1%,0.2%,1.1%,"8,446 MW","4,153 MW","3,268 MW",685 MW,30 MW,184 MW
"Thu Oct 14, 4 PM - 5 PM","1,029 MW","1,542 MW",513 MW,"17,045 MW","16,532 MW","1,198 tonnes",70 g/kWh,49.5%,25.6%,20.1%,4.1%,0.2%,0.5%,"8,439 MW","4,359 MW","3,423 MW",706 MW,31 MW,87 MW
"Thu Oct 14, 5 PM - 6 PM","1,026 MW","1,409 MW",383 MW,"17,039 MW","16,656 MW","1,216 tonnes",71 g/kWh,49.5%,25.8%,20.6%,3.8%,0.2%,0.2%,"8,435 MW","4,392 MW","3,515 MW",640 MW,31 MW,26 MW
"Thu Oct 14, 6 PM - 7 PM",795 MW,924 MW,129 MW,"16,770 MW","16,641 MW","1,047 tonnes",62 g/kWh,50.3%,27.0%,18.0%,4.5%,0.2%,0.0%,"8,437 MW","4,532 MW","3,016 MW",751 MW,32 MW,2 MW
"Thu Oct 14, 7 PM - 8 PM","1,167 MW","1,118 MW",-49 MW,"16,647 MW","16,696 MW",862 tonnes,52 g/kWh,50.6%,27.1%,15.4%,6.6%,0.2%,0.0%,"8,430 MW","4,514 MW","2,571 MW","1,099 MW",33 MW,0 MW
"Thu Oct 14, 8 PM - 9 PM","1,044 MW","1,332 MW",288 MW,"16,484 MW","16,196 MW",784 tonnes,48 g/kWh,51.1%,28.1%,14.5%,6.1%,0.2%,0.0%,"8,423 MW","4,634 MW","2,389 MW","1,005 MW",33 MW,0 MW
"Thu Oct 14, 9 PM - 10 PM","1,106 MW","1,547 MW",441 MW,"16,078 MW","15,637 MW",821 tonnes,51 g/kWh,52.3%,27.3%,15.6%,4.5%,0.2%,0.0%,"8,414 MW","4,389 MW","2,512 MW",730 MW,33 MW,0 MW
"Thu Oct 14, 10 PM - 11 PM","1,089 MW","1,716 MW",627 MW,"15,415 MW","14,788 MW",823 tonnes,53 g/kWh,54.6%,27.0%,13.5%,4.7%,0.2%,0.0%,"8,416 MW","4,163 MW","2,079 MW",725 MW,32 MW,0 MW
"Fri Oct 15, 11 PM - 12 AM","1,130 MW","1,782 MW",652 MW,"14,353 MW","13,701 MW",583 tonnes,41 g/kWh,58.7%,27.7%,8.6%,4.8%,0.2%,0.0%,"8,427 MW","3,982 MW","1,228 MW",691 MW,25 MW,0 MW
"Fri Oct 15, 12 AM - 1 AM",752 MW,"1,671 MW",919 MW,"13,900 MW","12,981 MW",421 tonnes,30 g/kWh,60.6%,27.9%,6.3%,5.1%,0.1%,0.0%,"8,426 MW","3,882 MW",869 MW,706 MW,17 MW,0 MW
"Fri Oct 15, 1 AM - 2 AM",277 MW,"1,555 MW","1,278 MW","13,678 MW","12,400 MW",317 tonnes,23 g/kWh,61.8%,27.9%,5.0%,5.2%,0.1%,0.0%,"8,453 MW","3,821 MW",679 MW,708 MW,17 MW,0 MW
"Fri Oct 15, 2 AM - 3 AM",404 MW,"1,807 MW","1,403 MW","13,465 MW","12,062 MW",247 tonnes,18 g/kWh,62.9%,28.7%,4.0%,4.3%,0.1%,0.0%,"8,468 MW","3,859 MW",536 MW,585 MW,17 MW,0 MW
"Fri Oct 15, 3 AM - 4 AM",360 MW,"1,861 MW","1,501 MW","13,454 MW","11,953 MW",306 tonnes,23 g/kWh,62.9%,28.7%,4.9%,3.4%,0.1%,0.0%,"8,469 MW","3,861 MW",653 MW,454 MW,17 MW,0 MW
"Fri Oct 15, 4 AM - 5 AM",388 MW,"2,012 MW","1,624 MW","13,569 MW","11,945 MW",390 tonnes,29 g/kWh,62.4%,28.6%,6.1%,2.7%,0.1%,0.0%,"8,472 MW","3,883 MW",824 MW,372 MW,18 MW,0 MW
"Fri Oct 15, 5 AM - 6 AM",779 MW,"1,731 MW",952 MW,"13,486 MW","12,534 MW",439 tonnes,33 g/kWh,62.9%,27.0%,7.9%,2.0%,0.1%,0.0%,"8,478 MW","3,642 MW","1,072 MW",275 MW,19 MW,0 MW
"Fri Oct 15, 6 AM - 7 AM","1,189 MW","1,801 MW",612 MW,"14,214 MW","13,602 MW",591 tonnes,42 g/kWh,59.6%,27.0%,11.7%,1.5%,0.2%,0.0%,"8,474 MW","3,836 MW","1,665 MW",213 MW,26 MW,0 MW
"Fri Oct 15, 7 AM - 8 AM","1,267 MW","1,673 MW",406 MW,"15,363 MW","14,957 MW",927 tonnes,60 g/kWh,55.2%,26.1%,17.4%,1.1%,0.2%,0.0%,"8,475 MW","4,012 MW","2,676 MW",166 MW,32 MW,2 MW
"Fri Oct 15, 8 AM - 9 AM","1,278 MW","1,648 MW",370 MW,"15,803 MW","15,433 MW","1,067 tonnes",68 g/kWh,53.3%,26.0%,19.9%,0.5%,0.2%,0.1%,"8,417 MW","4,108 MW","3,152 MW",72 MW,32 MW,22 MW
"Fri Oct 15, 9 AM - 10 AM","1,272 MW","1,636 MW",364 MW,"16,100 MW","15,736 MW","1,107 tonnes",69 g/kWh,52.2%,26.0%,20.8%,0.3%,0.2%,0.4%,"8,406 MW","4,182 MW","3,353 MW",56 MW,32 MW,71 MW
"Fri Oct 15, 10 AM - 11 AM","1,303 MW","1,718 MW",415 MW,"16,246 MW","15,831 MW","1,126 tonnes",69 g/kWh,51.8%,26.4%,20.9%,0.3%,0.2%,0.5%,"8,411 MW","4,285 MW","3,392 MW",50 MW,31 MW,77 MW
"Fri Oct 15, 11 AM - 12 PM","1,278 MW","1,611 MW",333 MW,"16,168 MW","15,835 MW","1,106 tonnes",68 g/kWh,52.0%,25.7%,20.8%,0.7%,0.2%,0.7%,"8,410 MW","4,149 MW","3,355 MW",107 MW,32 MW,115 MW
"Fri Oct 15, 12 PM - 1 PM","1,321 MW","1,730 MW",409 MW,"16,171 MW","15,762 MW","1,053 tonnes",65 g/kWh,52.0%,26.6%,19.6%,0.7%,0.2%,0.9%,"8,413 MW","4,304 MW","3,162 MW",118 MW,32 MW,142 MW
"Fri Oct 15, 1 PM - 2 PM","1,281 MW","1,530 MW",249 MW,"16,030 MW","15,781 MW","1,019 tonnes",64 g/kWh,52.7%,27.2%,18.4%,0.7%,0.2%,0.8%,"8,453 MW","4,360 MW","2,944 MW",106 MW,32 MW,135 MW
"Fri Oct 15, 2 PM - 3 PM","1,275 MW","1,676 MW",401 MW,"16,233 MW","15,832 MW","1,036 tonnes",64 g/kWh,52.4%,27.2%,19.0%,0.5%,0.2%,0.6%,"8,510 MW","4,412 MW","3,090 MW",88 MW,32 MW,101 MW
"Fri Oct 15, 3 PM - 4 PM","1,099 MW","1,904 MW",805 MW,"16,694 MW","15,889 MW",994 tonnes,60 g/kWh,51.5%,28.8%,18.2%,0.9%,0.2%,0.5%,"8,590 MW","4,803 MW","3,036 MW",154 MW,31 MW,80 MW
"Fri Oct 15, 4 PM - 5 PM","1,304 MW","1,939 MW",635 MW,"16,705 MW","16,070 MW",951 tonnes,57 g/kWh,51.5%,30.0%,16.7%,1.3%,0.2%,0.3%,"8,601 MW","5,009 MW","2,795 MW",225 MW,31 MW,44 MW
"Fri Oct 15, 5 PM - 6 PM",748 MW,"1,784 MW","1,036 MW","17,334 MW","16,298 MW","1,084 tonnes",63 g/kWh,49.7%,29.8%,18.9%,1.4%,0.2%,0.1%,"8,609 MW","5,158 MW","3,274 MW",243 MW,31 MW,19 MW
"Fri Oct 15, 6 PM - 7 PM",440 MW,"1,470 MW","1,030 MW","17,324 MW","16,294 MW","1,120 tonnes",65 g/kWh,49.7%,29.1%,19.8%,1.2%,0.2%,0.0%,"8,606 MW","5,049 MW","3,424 MW",214 MW,31 MW,0 MW
"Fri Oct 15, 7 PM - 8 PM",487 MW,"1,389 MW",902 MW,"17,169 MW","16,267 MW","1,045 tonnes",61 g/kWh,50.2%,29.3%,18.5%,1.8%,0.2%,0.0%,"8,615 MW","5,035 MW","3,170 MW",317 MW,32 MW,0 MW
"Fri Oct 15, 8 PM - 9 PM","1,224 MW","1,892 MW",668 MW,"16,468 MW","15,800 MW",797 tonnes,48 g/kWh,52.3%,29.0%,14.7%,3.8%,0.2%,0.0%,"8,610 MW","4,770 MW","2,426 MW",629 MW,33 MW,0 MW
"Fri Oct 15, 9 PM - 10 PM","1,204 MW","1,645 MW",441 MW,"15,539 MW","15,098 MW",403 tonnes,26 g/kWh,55.4%,25.9%,8.2%,10.3%,0.2%,0.0%,"8,603 MW","4,022 MW","1,276 MW","1,605 MW",33 MW,0 MW
"Fri Oct 15, 10 PM - 11 PM","1,204 MW","1,821 MW",617 MW,"14,875 MW","14,258 MW",342 tonnes,23 g/kWh,57.9%,26.4%,5.4%,10.0%,0.2%,0.0%,"8,615 MW","3,924 MW",810 MW,"1,494 MW",32 MW,0 MW
"Sat Oct 16, 11 PM - 12 AM",664 MW,"1,937 MW","1,273 MW","14,349 MW","13,076 MW",143 tonnes,10 g/kWh,60.1%,30.3%,1.9%,7.6%,0.1%,0.0%,"8,628 MW","4,346 MW",274 MW,"1,085 MW",16 MW,0 MW
"Sat Oct 16, 12 AM - 1 AM",742 MW,"2,350 MW","1,608 MW","13,964 MW","12,356 MW",126 tonnes,9 g/kWh,61.8%,31.2%,1.4%,5.5%,0.0%,0.0%,"8,632 MW","4,362 MW",202 MW,766 MW,2 MW,0 MW
"Sat Oct 16, 1 AM - 2 AM",476 MW,"2,345 MW","1,869 MW","13,665 MW","11,796 MW",130 tonnes,10 g/kWh,63.2%,30.8%,1.5%,4.5%,0.0%,0.0%,"8,637 MW","4,206 MW",208 MW,614 MW,0 MW,0 MW
"Sat Oct 16, 2 AM - 3 AM",476 MW,"2,280 MW","1,804 MW","13,311 MW","11,507 MW",88 tonnes,7 g/kWh,64.9%,28.9%,1.1%,5.1%,0.0%,0.0%,"8,637 MW","3,853 MW",140 MW,681 MW,0 MW,0 MW
"Sat Oct 16, 3 AM - 4 AM",81 MW,"2,308 MW","2,227 MW","13,570 MW","11,343 MW",87 tonnes,6 g/kWh,63.6%,30.0%,1.0%,5.4%,0.0%,0.0%,"8,629 MW","4,066 MW",139 MW,736 MW,0 MW,0 MW
"Sat Oct 16, 4 AM - 5 AM",100 MW,"2,553 MW","2,453 MW","13,716 MW","11,263 MW",87 tonnes,6 g/kWh,62.9%,30.3%,1.0%,5.8%,0.0%,0.0%,"8,634 MW","4,154 MW",139 MW,789 MW,0 MW,0 MW
"Sat Oct 16, 5 AM - 6 AM",100 MW,"2,645 MW","2,545 MW","13,902 MW","11,357 MW",106 tonnes,8 g/kWh,62.1%,30.8%,1.3%,5.8%,0.0%,0.0%,"8,634 MW","4,284 MW",179 MW,805 MW,0 MW,0 MW
"Sat Oct 16, 6 AM - 7 AM",658 MW,"2,656 MW","1,998 MW","13,960 MW","11,962 MW",92 tonnes,7 g/kWh,61.6%,28.4%,1.1%,8.8%,0.0%,0.0%,"8,603 MW","3,970 MW",154 MW,"1,233 MW",0 MW,0 MW
"Sat Oct 16, 7 AM - 8 AM",988 MW,"2,366 MW","1,378 MW","14,049 MW","12,671 MW",123 tonnes,9 g/kWh,61.0%,24.7%,1.7%,12.6%,0.0%,0.0%,"8,573 MW","3,467 MW",236 MW,"1,773 MW",0 MW,0 MW
"Sat Oct 16, 8 AM - 9 AM",789 MW,"2,083 MW","1,294 MW","14,423 MW","13,129 MW",234 tonnes,16 g/kWh,59.4%,25.0%,3.6%,12.0%,0.0%,0.0%,"8,565 MW","3,610 MW",514 MW,"1,731 MW",0 MW,3 MW
"Sat Oct 16, 9 AM - 10 AM","1,011 MW","2,081 MW","1,070 MW","15,021 MW","13,951 MW",254 tonnes,17 g/kWh,57.0%,25.2%,3.7%,13.9%,0.0%,0.2%,"8,561 MW","3,785 MW",553 MW,"2,094 MW",0 MW,28 MW
"Sat Oct 16, 10 AM - 11 AM",638 MW,"2,311 MW","1,673 MW","15,935 MW","14,262 MW",351 tonnes,22 g/kWh,53.7%,27.8%,4.7%,13.3%,0.0%,0.4%,"8,565 MW","4,435 MW",752 MW,"2,113 MW",0 MW,70 MW
"Sat Oct 16, 11 AM - 12 PM",849 MW,"2,537 MW","1,688 MW","15,952 MW","14,264 MW",381 tonnes,24 g/kWh,53.7%,26.8%,5.0%,13.9%,0.0%,0.6%,"8,564 MW","4,279 MW",797 MW,"2,221 MW",0 MW,91 MW
"Sat Oct 16, 12 PM - 1 PM",707 MW,"2,457 MW","1,750 MW","15,956 MW","14,206 MW",333 tonnes,21 g/kWh,54.1%,24.7%,4.5%,16.1%,0.0%,0.7%,"8,632 MW","3,934 MW",718 MW,"2,566 MW",0 MW,106 MW
"Sat Oct 16, 1 PM - 2 PM",87 MW,"2,317 MW","2,230 MW","16,323 MW","14,093 MW",324 tonnes,20 g/kWh,53.0%,22.9%,4.2%,19.0%,0.0%,0.8%,"8,654 MW","3,746 MW",693 MW,"3,101 MW",0 MW,129 MW
"Sat Oct 16, 2 PM - 3 PM",809 MW,"2,436 MW","1,627 MW","15,477 MW","13,850 MW",145 tonnes,9 g/kWh,55.8%,22.3%,1.8%,18.8%,0.0%,1.2%,"8,636 MW","3,459 MW",280 MW,"2,913 MW",0 MW,189 MW
"Sat Oct 16, 3 PM - 4 PM",705 MW,"2,380 MW","1,675 MW","15,355 MW","13,680 MW",212 tonnes,14 g/kWh,56.2%,24.3%,3.0%,15.5%,0.0%,1.0%,"8,637 MW","3,733 MW",460 MW,"2,379 MW",0 MW,146 MW
"Sat Oct 16, 4 PM - 5 PM",74 MW,"2,185 MW","2,111 MW","16,093 MW","13,982 MW",230 tonnes,14 g/kWh,53.7%,24.2%,3.1%,18.4%,0.0%,0.5%,"8,647 MW","3,899 MW",505 MW,"2,954 MW",0 MW,88 MW
"Sat Oct 16, 5 PM - 6 PM",372 MW,"2,289 MW","1,917 MW","16,423 MW","14,506 MW",229 tonnes,14 g/kWh,52.6%,25.8%,3.1%,18.2%,0.0%,0.3%,"8,646 MW","4,233 MW",504 MW,"2,993 MW",0 MW,47 MW
"Sat Oct 16, 6 PM - 7 PM",959 MW,"2,350 MW","1,391 MW","16,245 MW","14,854 MW",229 tonnes,14 g/kWh,53.2%,25.3%,3.1%,18.4%,0.0%,0.0%,"8,650 MW","4,102 MW",503 MW,"2,986 MW",0 MW,4 MW
"Sat Oct 16, 7 PM - 8 PM",37 MW,"2,043 MW","2,006 MW","16,805 MW","14,799 MW",230 tonnes,14 g/kWh,51.5%,25.4%,3.0%,20.1%,0.0%,0.0%,"8,661 MW","4,268 MW",504 MW,"3,372 MW",0 MW,0 MW
"Sat Oct 16, 8 PM - 9 PM",37 MW,"2,305 MW","2,268 MW","16,498 MW","14,230 MW",235 tonnes,14 g/kWh,52.5%,24.4%,3.1%,20.0%,0.0%,0.0%,"8,657 MW","4,021 MW",513 MW,"3,307 MW",0 MW,0 MW
"Sat Oct 16, 9 PM - 10 PM",188 MW,"2,543 MW","2,355 MW","16,010 MW","13,655 MW",144 tonnes,9 g/kWh,54.1%,24.3%,1.8%,19.9%,0.0%,0.0%,"8,657 MW","3,890 MW",284 MW,"3,179 MW",0 MW,0 MW
"Sat Oct 16, 10 PM - 11 PM",48 MW,"2,757 MW","2,709 MW","15,792 MW","13,083 MW",81 tonnes,5 g/kWh,54.9%,24.6%,0.8%,19.7%,0.0%,0.0%,"8,663 MW","3,887 MW",130 MW,"3,112 MW",0 MW,0 MW
"Sun Oct 17, 11 PM - 12 AM",48 MW,"2,723 MW","2,675 MW","14,913 MW","12,238 MW",81 tonnes,5 g/kWh,58.1%,21.9%,0.9%,19.1%,0.0%,0.0%,"8,671 MW","3,262 MW",129 MW,"2,851 MW",0 MW,0 MW
"Sun Oct 17, 12 AM - 1 AM",53 MW,"2,943 MW","2,890 MW","14,576 MW","11,686 MW",81 tonnes,6 g/kWh,59.5%,22.5%,0.9%,17.1%,0.0%,0.0%,"8,675 MW","3,277 MW",129 MW,"2,495 MW",0 MW,0 MW
"Sun Oct 17, 1 AM - 2 AM",76 MW,"3,068 MW","2,992 MW","14,286 MW","11,294 MW",81 tonnes,6 g/kWh,60.8%,21.4%,0.9%,16.9%,0.0%,0.0%,"8,687 MW","3,056 MW",129 MW,"2,414 MW",0 MW,0 MW
"Sun Oct 17, 2 AM - 3 AM",53 MW,"3,082 MW","3,029 MW","14,066 MW","11,037 MW",81 tonnes,6 g/kWh,61.8%,20.5%,0.9%,16.8%,0.0%,0.0%,"8,686 MW","2,885 MW",129 MW,"2,366 MW",0 MW,0 MW
"Sun Oct 17, 3 AM - 4 AM",53 MW,"3,080 MW","3,027 MW","13,902 MW","10,875 MW",81 tonnes,6 g/kWh,62.7%,21.6%,0.9%,14.8%,0.0%,0.0%,"8,710 MW","3,004 MW",129 MW,"2,059 MW",0 MW,0 MW
"Sun Oct 17, 4 AM - 5 AM",72 MW,"3,077 MW","3,005 MW","13,792 MW","10,787 MW",81 tonnes,6 g/kWh,63.2%,22.4%,0.9%,13.4%,0.0%,0.0%,"8,720 MW","3,091 MW",129 MW,"1,852 MW",0 MW,0 MW
"Sun Oct 17, 5 AM - 6 AM",72 MW,"3,090 MW","3,018 MW","13,904 MW","10,886 MW",81 tonnes,6 g/kWh,62.7%,22.4%,0.9%,14.0%,0.0%,0.0%,"8,716 MW","3,116 MW",129 MW,"1,943 MW",0 MW,0 MW
"Sun Oct 17, 6 AM - 7 AM",72 MW,"3,093 MW","3,021 MW","14,311 MW","11,290 MW",81 tonnes,6 g/kWh,61.0%,22.2%,0.9%,16.0%,0.0%,0.0%,"8,723 MW","3,172 MW",129 MW,"2,287 MW",0 MW,0 MW
"Sun Oct 17, 7 AM - 8 AM",28 MW,"2,886 MW","2,858 MW","14,684 MW","11,826 MW",81 tonnes,5 g/kWh,59.5%,24.8%,0.9%,14.8%,0.0%,0.0%,"8,739 MW","3,640 MW",129 MW,"2,174 MW",0 MW,2 MW
"Sun Oct 17, 8 AM - 9 AM",28 MW,"2,794 MW","2,766 MW","14,957 MW","12,191 MW",91 tonnes,6 g/kWh,58.4%,27.4%,1.0%,12.9%,0.0%,0.2%,"8,737 MW","4,094 MW",154 MW,"1,936 MW",0 MW,36 MW
"Sun Oct 17, 9 AM - 10 AM",623 MW,"2,762 MW","2,139 MW","14,846 MW","12,707 MW",88 tonnes,6 g/kWh,58.8%,28.3%,1.0%,11.4%,0.0%,0.5%,"8,735 MW","4,201 MW",147 MW,"1,694 MW",0 MW,69 MW
"Sun Oct 17, 10 AM - 11 AM",153 MW,"2,651 MW","2,498 MW","15,347 MW","12,849 MW",133 tonnes,9 g/kWh,57.0%,30.1%,1.4%,10.5%,0.0%,1.1%,"8,746 MW","4,617 MW",218 MW,"1,604 MW",0 MW,162 MW
"Sun Oct 17, 11 AM - 12 PM",662 MW,"2,460 MW","1,798 MW","15,048 MW","13,250 MW",109 tonnes,7 g/kWh,58.1%,26.3%,1.3%,13.3%,0.0%,1.0%,"8,747 MW","3,951 MW",189 MW,"2,005 MW",0 MW,156 MW
"Sun Oct 17, 12 PM - 1 PM",755 MW,"2,489 MW","1,734 MW","14,864 MW","13,130 MW",126 tonnes,8 g/kWh,58.9%,23.5%,1.6%,14.8%,0.0%,1.2%,"8,753 MW","3,496 MW",244 MW,"2,196 MW",0 MW,175 MW
"Sun Oct 17, 1 PM - 2 PM",667 MW,"2,503 MW","1,836 MW","14,810 MW","12,974 MW",232 tonnes,16 g/kWh,59.1%,23.6%,3.9%,12.4%,0.0%,1.0%,"8,759 MW","3,489 MW",578 MW,"1,838 MW",0 MW,146 MW
"Sun Oct 17, 2 PM - 3 PM",417 MW,"2,635 MW","2,218 MW","15,112 MW","12,894 MW",232 tonnes,15 g/kWh,57.7%,24.0%,4.2%,13.2%,0.0%,0.8%,"8,723 MW","3,633 MW",632 MW,"1,998 MW",0 MW,126 MW
"Sun Oct 17, 3 PM - 4 PM",551 MW,"2,718 MW","2,167 MW","15,431 MW","13,264 MW",230 tonnes,15 g/kWh,56.9%,26.0%,4.7%,11.3%,0.0%,1.1%,"8,779 MW","4,015 MW",728 MW,"1,738 MW",0 MW,171 MW
"Sun Oct 17, 4 PM - 5 PM","1,243 MW","2,735 MW","1,492 MW","15,353 MW","13,861 MW",230 tonnes,15 g/kWh,57.2%,27.6%,5.4%,8.7%,0.0%,1.0%,"8,787 MW","4,241 MW",833 MW,"1,341 MW",0 MW,151 MW
"Sun Oct 17, 5 PM - 6 PM","1,243 MW","2,430 MW","1,187 MW","15,780 MW","14,593 MW",232 tonnes,15 g/kWh,55.7%,28.5%,5.3%,10.1%,0.0%,0.4%,"8,794 MW","4,492 MW",833 MW,"1,598 MW",0 MW,63 MW
"Sun Oct 17, 6 PM - 7 PM","1,188 MW","2,073 MW",885 MW,"15,910 MW","15,025 MW",231 tonnes,15 g/kWh,55.3%,28.8%,5.2%,10.6%,0.0%,0.0%,"8,806 MW","4,581 MW",827 MW,"1,691 MW",0 MW,5 MW
"Sun Oct 17, 7 PM - 8 PM","1,051 MW","2,241 MW","1,190 MW","16,325 MW","15,135 MW",256 tonnes,16 g/kWh,54.0%,29.1%,5.4%,11.6%,0.0%,0.0%,"8,810 MW","4,755 MW",874 MW,"1,886 MW",0 MW,0 MW
"Sun Oct 17, 9 PM - 10 PM",588 MW,"2,883 MW","2,295 MW","16,285 MW","13,990 MW",93 tonnes,6 g/kWh,54.1%,26.1%,2.9%,16.9%,0.0%,0.0%,"8,807 MW","4,254 MW",467 MW,"2,757 MW",0 MW,0 MW
"Mon Oct 18, 11 PM - 12 AM",9 MW,"2,685 MW","2,676 MW","14,991 MW","12,315 MW",93 tonnes,6 g/kWh,58.8%,21.5%,1.0%,18.7%,0.0%,0.0%,"8,813 MW","3,223 MW",150 MW,"2,805 MW",0 MW,0 MW
"Mon Oct 18, 12 AM - 1 AM",53 MW,"2,981 MW","2,928 MW","14,527 MW","11,599 MW",99 tonnes,7 g/kWh,60.7%,21.6%,1.2%,16.5%,0.0%,0.0%,"8,812 MW","3,140 MW",173 MW,"2,402 MW",0 MW,0 MW
"Mon Oct 18, 1 AM - 2 AM",43 MW,"2,558 MW","2,515 MW","13,892 MW","11,377 MW",104 tonnes,7 g/kWh,63.5%,21.3%,1.3%,13.8%,0.1%,0.0%,"8,815 MW","2,960 MW",186 MW,"1,923 MW",8 MW,0 MW
"Mon Oct 18, 2 AM - 3 AM",41 MW,"2,683 MW","2,642 MW","13,904 MW","11,262 MW",100 tonnes,7 g/kWh,63.4%,22.1%,1.3%,13.1%,0.1%,0.0%,"8,818 MW","3,066 MW",176 MW,"1,828 MW",16 MW,0 MW
"Mon Oct 18, 3 AM - 4 AM",41 MW,"2,683 MW","2,642 MW","13,890 MW","11,248 MW",147 tonnes,11 g/kWh,63.5%,21.5%,2.1%,12.8%,0.1%,0.0%,"8,824 MW","2,981 MW",293 MW,"1,774 MW",18 MW,0 MW
"Mon Oct 18, 4 AM - 5 AM",41 MW,"2,683 MW","2,642 MW","14,027 MW","11,385 MW",203 tonnes,15 g/kWh,62.8%,21.5%,3.7%,11.9%,0.1%,0.0%,"8,814 MW","3,018 MW",512 MW,"1,665 MW",18 MW,0 MW
"Mon Oct 18, 5 AM - 6 AM",126 MW,"2,593 MW","2,467 MW","14,363 MW","11,896 MW",311 tonnes,22 g/kWh,61.4%,21.8%,6.3%,10.4%,0.1%,0.0%,"8,813 MW","3,134 MW",898 MW,"1,497 MW",21 MW,0 MW
"Mon Oct 18, 6 AM - 7 AM",914 MW,"2,631 MW","1,717 MW","14,993 MW","13,276 MW",325 tonnes,22 g/kWh,58.8%,23.8%,7.2%,10.0%,0.2%,0.0%,"8,815 MW","3,573 MW","1,072 MW","1,505 MW",28 MW,0 MW
"Mon Oct 18, 7 AM - 8 AM","1,044 MW","2,513 MW","1,469 MW","16,205 MW","14,736 MW",377 tonnes,23 g/kWh,54.4%,26.4%,7.4%,11.7%,0.2%,0.0%,"8,810 MW","4,273 MW","1,202 MW","1,888 MW",29 MW,3 MW
"Mon Oct 18, 8 AM - 9 AM","1,044 MW","2,175 MW","1,131 MW","16,272 MW","15,141 MW",446 tonnes,27 g/kWh,54.1%,25.0%,8.4%,11.9%,0.2%,0.3%,"8,809 MW","4,064 MW","1,373 MW","1,944 MW",31 MW,51 MW
"Mon Oct 18, 9 AM - 10 AM",925 MW,"2,349 MW","1,424 MW","16,414 MW","14,990 MW",463 tonnes,28 g/kWh,53.7%,25.3%,8.6%,11.1%,0.2%,1.0%,"8,818 MW","4,150 MW","1,419 MW","1,830 MW",32 MW,165 MW
"Mon Oct 18, 10 AM - 11 AM",709 MW,"2,308 MW","1,599 MW","16,490 MW","14,891 MW",501 tonnes,30 g/kWh,53.5%,23.5%,9.2%,12.2%,0.2%,1.5%,"8,826 MW","3,867 MW","1,512 MW","2,005 MW",33 MW,247 MW
"Mon Oct 18, 11 AM - 12 PM",265 MW,"2,411 MW","2,146 MW","16,413 MW","14,267 MW",491 tonnes,30 g/kWh,53.9%,22.2%,9.1%,12.8%,0.2%,1.8%,"8,839 MW","3,646 MW","1,489 MW","2,108 MW",32 MW,299 MW
"Mon Oct 18, 12 PM - 1 PM",115 MW,"2,319 MW","2,204 MW","16,212 MW","14,008 MW",484 tonnes,30 g/kWh,54.6%,21.9%,9.1%,12.2%,0.2%,2.1%,"8,847 MW","3,549 MW","1,475 MW","1,971 MW",33 MW,337 MW
