,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Wed Jun 14, 8 PM - 9 PM",219 MW,"1,720 MW","1,501 MW","17,410 MW","15,909 MW","1,268 tonnes",73 g/kWh,46.3%,29.6%,21.6%,2.0%,0.5%,0.0%,"8,067 MW","5,158 MW","3,752 MW",345 MW,83 MW,5 MW
"Wed Jun 14, 9 PM - 10 PM",81 MW,"1,618 MW","1,537 MW","17,436 MW","15,899 MW","1,453 tonnes",83 g/kWh,46.2%,26.9%,24.4%,1.8%,0.6%,0.0%,"8,064 MW","4,692 MW","4,260 MW",317 MW,103 MW,0 MW
"Wed Jun 14, 10 PM - 11 PM",36 MW,"1,453 MW","1,417 MW","16,593 MW","15,176 MW","1,419 tonnes",86 g/kWh,48.6%,23.9%,24.9%,2.2%,0.4%,0.0%,"8,060 MW","3,967 MW","4,126 MW",366 MW,74 MW,0 MW
"Thu Jun 15, 11 PM - 12 AM",36 MW,"1,311 MW","1,275 MW","15,171 MW","13,896 MW","1,031 tonnes",68 g/kWh,53.2%,24.7%,19.4%,2.2%,0.4%,0.0%,"8,069 MW","3,748 MW","2,946 MW",340 MW,68 MW,0 MW
"Thu Jun 15, 12 AM - 1 AM",36 MW,"1,054 MW","1,018 MW","14,127 MW","13,109 MW",772 tonnes,55 g/kWh,57.2%,24.1%,16.7%,1.9%,0.2%,0.0%,"8,077 MW","3,401 MW","2,359 MW",263 MW,27 MW,0 MW
"Thu Jun 15, 1 AM - 2 AM",36 MW,"1,076 MW","1,040 MW","13,608 MW","12,568 MW",603 tonnes,44 g/kWh,59.4%,25.0%,14.2%,1.3%,0.1%,0.0%,"8,086 MW","3,405 MW","1,929 MW",171 MW,17 MW,0 MW
"Thu Jun 15, 2 AM - 3 AM",36 MW,"1,621 MW","1,585 MW","13,749 MW","12,164 MW",582 tonnes,42 g/kWh,58.9%,24.3%,15.5%,1.2%,0.1%,0.0%,"8,096 MW","3,339 MW","2,127 MW",170 MW,17 MW,0 MW
"Thu Jun 15, 3 AM - 4 AM",36 MW,"2,087 MW","2,051 MW","14,026 MW","11,975 MW",576 tonnes,41 g/kWh,57.8%,23.8%,15.5%,2.8%,0.1%,0.0%,"8,102 MW","3,337 MW","2,172 MW",398 MW,17 MW,0 MW
"Thu Jun 15, 4 AM - 5 AM",36 MW,"2,221 MW","2,185 MW","14,133 MW","11,948 MW",566 tonnes,40 g/kWh,57.4%,24.6%,15.2%,2.6%,0.1%,0.0%,"8,109 MW","3,482 MW","2,155 MW",370 MW,17 MW,0 MW
"Thu Jun 15, 5 AM - 6 AM",36 MW,"2,234 MW","2,198 MW","14,452 MW","12,254 MW",622 tonnes,43 g/kWh,56.1%,24.7%,15.8%,3.3%,0.1%,0.0%,"8,103 MW","3,564 MW","2,290 MW",478 MW,17 MW,0 MW
"Thu Jun 15, 6 AM - 7 AM",36 MW,"1,541 MW","1,505 MW","14,654 MW","13,149 MW",744 tonnes,51 g/kWh,55.4%,24.5%,17.6%,2.4%,0.1%,0.1%,"8,112 MW","3,585 MW","2,585 MW",345 MW,19 MW,8 MW
"Thu Jun 15, 7 AM - 8 AM",36 MW,"1,348 MW","1,312 MW","15,439 MW","14,127 MW",995 tonnes,64 g/kWh,52.5%,24.9%,20.2%,1.9%,0.2%,0.2%,"8,103 MW","3,849 MW","3,124 MW",292 MW,38 MW,33 MW
"Thu Jun 15, 8 AM - 9 AM",36 MW,976 MW,940 MW,"15,719 MW","14,779 MW","1,173 tonnes",75 g/kWh,51.5%,24.1%,22.2%,1.6%,0.3%,0.4%,"8,089 MW","3,789 MW","3,495 MW",247 MW,43 MW,56 MW
"Thu Jun 15, 9 AM - 10 AM",36 MW,"1,190 MW","1,154 MW","16,068 MW","14,914 MW","1,219 tonnes",76 g/kWh,50.3%,25.0%,22.5%,1.4%,0.2%,0.7%,"8,083 MW","4,018 MW","3,609 MW",224 MW,29 MW,105 MW
"Thu Jun 15, 10 AM - 11 AM",36 MW,"1,405 MW","1,369 MW","16,327 MW","14,958 MW","1,281 tonnes",78 g/kWh,49.5%,24.7%,23.0%,1.4%,0.4%,1.0%,"8,077 MW","4,034 MW","3,756 MW",228 MW,65 MW,167 MW
"Thu Jun 15, 11 AM - 12 PM",36 MW,"1,404 MW","1,368 MW","16,481 MW","15,113 MW","1,262 tonnes",77 g/kWh,49.0%,24.9%,22.5%,1.7%,0.6%,1.3%,"8,076 MW","4,102 MW","3,704 MW",279 MW,100 MW,220 MW
"Thu Jun 15, 12 PM - 1 PM",36 MW,"1,477 MW","1,441 MW","16,667 MW","15,226 MW","1,307 tonnes",78 g/kWh,48.4%,24.6%,22.9%,2.2%,0.6%,1.3%,"8,068 MW","4,099 MW","3,823 MW",366 MW,97 MW,214 MW
"Thu Jun 15, 1 PM - 2 PM",36 MW,"1,588 MW","1,552 MW","17,038 MW","15,486 MW","1,421 tonnes",83 g/kWh,47.3%,24.5%,24.1%,2.3%,0.6%,1.2%,"8,066 MW","4,166 MW","4,109 MW",391 MW,95 MW,211 MW
"Thu Jun 15, 2 PM - 3 PM",36 MW,"1,791 MW","1,755 MW","17,322 MW","15,567 MW","1,464 tonnes",85 g/kWh,46.6%,24.6%,24.4%,2.9%,0.5%,1.1%,"8,064 MW","4,262 MW","4,235 MW",495 MW,78 MW,188 MW
"Thu Jun 15, 3 PM - 4 PM",36 MW,"1,786 MW","1,750 MW","17,509 MW","15,759 MW","1,483 tonnes",85 g/kWh,46.1%,24.7%,24.4%,3.2%,0.5%,1.1%,"8,065 MW","4,321 MW","4,274 MW",566 MW,83 MW,200 MW
"Thu Jun 15, 4 PM - 5 PM",36 MW,"1,602 MW","1,566 MW","17,708 MW","16,142 MW","1,499 tonnes",85 g/kWh,45.5%,25.8%,24.2%,2.9%,0.5%,1.0%,"8,064 MW","4,570 MW","4,286 MW",522 MW,91 MW,175 MW
"Thu Jun 15, 5 PM - 6 PM",142 MW,"1,620 MW","1,478 MW","17,916 MW","16,438 MW","1,484 tonnes",83 g/kWh,45.0%,28.2%,23.6%,2.2%,0.5%,0.5%,"8,063 MW","5,045 MW","4,236 MW",390 MW,94 MW,88 MW
"Thu Jun 15, 6 PM - 7 PM",142 MW,"1,644 MW","1,502 MW","17,932 MW","16,430 MW","1,454 tonnes",81 g/kWh,45.0%,28.2%,23.3%,2.7%,0.5%,0.4%,"8,062 MW","5,057 MW","4,176 MW",484 MW,90 MW,63 MW
